neg_event,event
PersonX does not ask PersonY to bring,PersonX asks PersonY to bring
PersonX does not ask PersonY to pray,PersonX asks PersonY to pray
PersonX does not come to light,PersonX comes to light
PersonX does not ask PersonY to read,PersonX asks PersonY to read
PersonX does not come to see PersonY,PersonX comes to see PersonY
PersonX does not ask PersonY to sit,PersonX asks PersonY to sit
PersonX does not come with PersonY,PersonX comes with PersonY
PersonX does not complete PersonX's studies,PersonX completes PersonX's studies
PersonX does not ask PersonY to sit down,PersonX asks PersonY to sit down
PersonX does not compliment PersonY,PersonX compliments PersonY
PersonX does not conceal PersonX's identity,PersonX conceals PersonX's identity
PersonX does not ask PersonY to speak,PersonX asks PersonY to speak
PersonX does not conceal PersonY's identity,PersonX conceals PersonY's identity
PersonX does not ask PersonY to try,PersonX asks PersonY to try
PersonX does not conduct PersonY analysis,PersonX conducts PersonY analysis
PersonX does not conduct PersonY investigation,PersonX conducts PersonY investigation
PersonX does not ask PersonY to visit,PersonX asks PersonY to visit
PersonX does not confront PersonX's roommate,PersonX confronts PersonX's roommate
PersonX does not ask PersonY's dad,PersonX asks PersonY's dad
PersonX does not confront PersonY about it,PersonX confronts PersonY about it
PersonX does not ask PersonY's dad for help,PersonX asks PersonY's dad for help
PersonX does not confront PersonY's roommate,PersonX confronts PersonY's roommate
PersonX does not consolidate PersonX's position,PersonX consolidates PersonX's position
PersonX does not ask PersonY's doctor,PersonX asks PersonY's doctor
PersonX does not contain PersonY number,PersonX contains PersonY number
PersonX does not ask PersonY's grandmother,PersonX asks PersonY's grandmother
PersonX does not ask PersonY's little brother,PersonX asks PersonY's little brother
PersonX does not continue PersonY's journey,PersonX continues PersonY's journey
PersonX does not continue driving,PersonX continues driving
PersonX does not ask PersonY's sister,PersonX asks PersonY's sister
PersonX does not convey PersonY impression,PersonX conveys PersonY impression
PersonX does not ask anyone,PersonX asks anyone
PersonX does not convince PersonX's parents,PersonX convinces PersonX's parents
PersonX does not ask the doctor,PersonX asks the doctor
PersonX does not convince PersonY's parents,PersonX convinces PersonY's parents
PersonX does not assemble PersonY,PersonX assembles PersonY
PersonX does not cook spaghetti,PersonX cooks spaghetti
PersonX does not cool PersonY off,PersonX cools PersonY off
PersonX does not cost the earth,PersonX costs the earth
PersonX does not cover PersonX's head,PersonX covers PersonX's head
PersonX does not attain PersonX's goals,PersonX attains PersonX's goals
PersonX does not cover PersonX's nakedness,PersonX covers PersonX's nakedness
PersonX does not attend college,PersonX attends college
PersonX does not attention whores,PersonX attention whores
PersonX does not cover PersonY's mouth,PersonX covers PersonY's mouth
PersonX does not babysits PersonX's cousin,PersonX babysits PersonX's cousin
PersonX does not cover every aspect,PersonX covers every aspect
PersonX does not babysits PersonY,PersonX babysits PersonY
PersonX does not crack the eggs,PersonX cracks the eggs
PersonX does not crane PersonY's neck,PersonX cranes PersonY's neck
PersonX does not babysits PersonY's cousin,PersonX babysits PersonY's cousin
PersonX does not crash into another car,PersonX crashes into another car
PersonX does not bail PersonY out,PersonX bails PersonY out
PersonX does not create PersonY structure,PersonX creates PersonY structure
PersonX does not cry tears of joy,PersonX cries tears of joy
PersonX does not cry uncle,PersonX cries uncle
PersonX does not bake an apple pie,PersonX bakes an apple pie
PersonX does not criticize PersonY,PersonX criticizes PersonY
PersonX does not bat PersonX's eyes,PersonX bats PersonX's eyes
PersonX does not beat PersonY easily,PersonX beats PersonY easily
PersonX does not cross the road,PersonX crosses the road
PersonX does not beat around the bush,PersonX beats around the bush
PersonX does not curl PersonX's hair,PersonX curls PersonX's hair
PersonX does not beat everyone,PersonX beats everyone
PersonX does not beat it,PersonX beats it
PersonX does not curl PersonY's hair,PersonX curls PersonY's hair
PersonX does not become PersonY agent,PersonX becomes PersonY agent
PersonX does not cut PersonX's leg,PersonX cuts PersonX's leg
PersonX does not become PersonY member,PersonX becomes PersonY member
PersonX does not cut PersonY's leg,PersonX cuts PersonY's leg
PersonX does not become a doctor,PersonX becomes a doctor
PersonX does not cut a swath,PersonX cuts a swath
PersonX does not become a great basketball player,PersonX becomes a great basketball player
PersonX does not eat toast,PersonX eats toast
PersonX does not cut bait,PersonX cuts bait
PersonX does not cut swathes,PersonX cuts swathes
PersonX does not enjoy PersonX's class,PersonX enjoys PersonX's class
PersonX does not cut the crap,PersonX cuts the crap
PersonX does not become a lawyer,PersonX becomes a lawyer
PersonX does not cut the umbilical cord,PersonX cuts the umbilical cord
PersonX does not enjoy PersonX's night,PersonX enjoys PersonX's night
PersonX does not become a pilot,PersonX becomes a pilot
PersonX does not dance all night,PersonX dances all night
PersonX does not dance the night away,PersonX dances the night away
PersonX does not become frustrated,PersonX becomes frustrated
PersonX does not enjoy PersonY's class,PersonX enjoys PersonY's class
PersonX does not date a girl,PersonX dates a girl
PersonX does not enjoy PersonY's company,PersonX enjoys PersonY's company
PersonX does not date for years,PersonX dates for years
PersonX does not become great,PersonX becomes great
PersonX does not enjoy each other's company,PersonX enjoys each other's company
PersonX does not dawn upon PersonY,PersonX dawns upon PersonY
PersonX does not become great friends,PersonX becomes great friends
PersonX does not enjoy life,PersonX enjoys life
PersonX does not deal with PersonY,PersonX deals with PersonY
PersonX does not get close enough,PersonX gets close enough
PersonX does not become happy,PersonX becomes happy
PersonX does not hit a telephone pole,PersonX hits a telephone pole
PersonX does not enjoy swimming,PersonX enjoys swimming
PersonX does not become ill,PersonX becomes ill
PersonX does not get close to PersonY,PersonX gets close to PersonY
PersonX does not become intolerable,PersonX becomes intolerable
PersonX does not hit by lightning,PersonX hits by lightning
PersonX does not enjoy the sights,PersonX enjoys the sights
PersonX does not decide to enter,PersonX decides to enter
PersonX does not become scared,PersonX becomes scared
PersonX does not get detention,PersonX gets detention
PersonX does not hit the headlines,PersonX hits the headlines
PersonX does not enter PersonX's car,PersonX enters PersonX's car
PersonX does not become smarter,PersonX becomes smarter
PersonX does not get dressed,PersonX gets dressed
PersonX does not hit the road,PersonX hits the road
PersonX does not decide to have a picnic,PersonX decides to have a picnic
PersonX does not get dressed for school,PersonX gets dressed for school
PersonX does not become very frustrated,PersonX becomes very frustrated
PersonX does not enter PersonX's office,PersonX enters PersonX's office
PersonX does not hit the roof,PersonX hits the roof
PersonX does not become very happy,PersonX becomes very happy
PersonX does not enter PersonY's car,PersonX enters PersonY's car
PersonX does not decide to investigate,PersonX decides to investigate
PersonX does not get dressed for work,PersonX gets dressed for work
PersonX does not enter PersonY's office,PersonX enters PersonY's office
PersonX does not decide to order a pizza,PersonX decides to order a pizza
PersonX does not hold PersonY in place,PersonX holds PersonY in place
PersonX does not get dressed up,PersonX gets dressed up
PersonX does not decide to order pizza,PersonX decides to order pizza
PersonX does not enter a baking competition,PersonX enters a baking competition
PersonX does not get everything,PersonX gets everything
PersonX does not hold PersonY place,PersonX holds PersonY place
PersonX does not become very ill,PersonX becomes very ill
PersonX does not enter an art contest,PersonX enters an art contest
PersonX does not decide to order pizza instead,PersonX decides to order pizza instead
PersonX does not hold PersonY's attention,PersonX holds PersonY's attention
PersonX does not befriend PersonY,PersonX befriends PersonY
PersonX does not escort PersonY back,PersonX escorts PersonY back
PersonX does not decide to purchase it,PersonX decides to purchase it
PersonX did not eventually buy,PersonX eventually bought
PersonX does not hold a grudge,PersonX holds a grudge
PersonX does not decide to read a book,PersonX decides to read a book
PersonX does not get everything PersonY needed,PersonX gets everything PersonY needed
PersonX does not hold on for dear life,PersonX holds on for dear life
PersonX does not decline the offer,PersonX declines the offer
PersonX does not get everything ready,PersonX gets everything ready
PersonX does not hop would lead,PersonX hopes would lead
PersonX does not deliver PersonY address,PersonX delivers PersonY address
PersonX does not begin crying,PersonX begins crying
PersonX does not demand PersonY's attention,PersonX demands PersonY's attention
PersonX does not host a party,PersonX hosts a party
PersonX does not get everything together,PersonX gets everything together
PersonX did not eventually move,PersonX eventually moved
PersonX does not begin school,PersonX begins school
PersonX does not huddle together,PersonX huddles together
PersonX does not get frustrated,PersonX gets frustrated
PersonX did not eventually save,PersonX eventually saved
PersonX does not deny PersonY's existence,PersonX denies PersonY's existence
PersonX does not begin to bleed,PersonX begins to bleed
PersonX does not derive PersonX's name,PersonX derives PersonX's name
PersonX does not get hurt,PersonX gets hurt
PersonX does not exchange numbers,PersonX exchanges numbers
PersonX does not begin to eat,PersonX begins to eat
PersonX does not derive PersonY's name,PersonX derives PersonY's name
PersonX does not get it for PersonY,PersonX gets it for PersonY
PersonX does not hug PersonY,PersonX hugs PersonY
PersonX does not get it right,PersonX gets it right
PersonX does not describe PersonX's experience,PersonX describes PersonX's experience
PersonX does not exercise every day,PersonX exercises every day
PersonX does not hurt like hell,PersonX hurts like hell
PersonX does not get it to work,PersonX gets it to work
PersonX does not exert PersonX's influence,PersonX exerts PersonX's influence
PersonX does not describe PersonY's experience,PersonX describes PersonY's experience
PersonX does not get knocked out,PersonX gets knocked out
PersonX did not immediately begin,PersonX immediately began
PersonX does not exert PersonY influence,PersonX exerts PersonY influence
PersonX does not explain things to PersonY,PersonX explains things to PersonY
PersonX does not get messy,PersonX gets messy
PersonX does not begin to eat it,PersonX begins to eat it
PersonX does not expose PersonX,PersonX exposes PersonX
PersonX does not get milk,PersonX gets milk
PersonX does not beg PersonX's parents for one,PersonX begs PersonX's parents for one
PersonX does not express PersonX's belief,PersonX expresses PersonX's belief
PersonX does not impress by PersonY's work,PersonX impresses by PersonY's work
PersonX did not desperately need,PersonX desperately needed
PersonX does not get more exercise,PersonX gets more exercise
PersonX does not beg PersonY,PersonX begs PersonY
PersonX does not impress with PersonX's work,PersonX impresses with PersonX's work
PersonX does not develop along lines,PersonX develops along lines
PersonX does not extend PersonX's knowledge,PersonX extends PersonX's knowledge
PersonX does not get my license,PersonX gets my license
PersonX does not beg PersonY's parents,PersonX begs PersonY's parents
PersonX does not develop cancer,PersonX develops cancer
PersonX does not improve PersonX's appearance,PersonX improves PersonX's appearance
PersonX does not fail PersonX's class,PersonX fails PersonX's class
PersonX does not get nervous,PersonX gets nervous
PersonX does not develop web presence,PersonX develops web presence
PersonX does not improve PersonX's grades,PersonX improves PersonX's grades
PersonX does not fail PersonX's classes,PersonX fails PersonX's classes
PersonX does not get on PersonX's feet,PersonX gets on PersonX's feet
PersonX does not diagnose with the flu,PersonX diagnoses with the flu
PersonX does not beg PersonY's parents for one,PersonX begs PersonY's parents for one
PersonX does not improve PersonX's position,PersonX improves PersonX's position
PersonX does not die on the vine,PersonX dies on the vine
PersonX does not get paint,PersonX gets paint
PersonX does not improve PersonX's sales,PersonX improves PersonX's sales
PersonX does not die peacefully,PersonX dies peacefully
PersonX does not get published,PersonX gets published
PersonX does not direct PersonY,PersonX directs PersonY
PersonX does not improve PersonY's appearance,PersonX improves PersonY's appearance
PersonX does not beg my parents,PersonX begs my parents
PersonX does not get right,PersonX gets right
PersonX does not direct PersonY's attention,PersonX directs PersonY's attention
PersonX does not increase PersonX's capacity,PersonX increases PersonX's capacity
PersonX does not believe also in PersonY,PersonX believes also in PersonY
PersonX does not get right back,PersonX gets right back
PersonX does not direct PersonY's steps,PersonX directs PersonY's steps
PersonX does not belong to PersonX's father,PersonX belongs to PersonX's father
PersonX does not discover in PersonY's bed,PersonX discovers in PersonY's bed
PersonX does not bestow upon PersonY,PersonX bestows upon PersonY
PersonX does not get second place,PersonX gets second place
PersonX does not bet PersonY,PersonX bets PersonY
PersonX does not get shot,PersonX gets shot
PersonX does not dispose of PersonX's property,PersonX disposes of PersonX's property
PersonX does not increase PersonX's knowledge,PersonX increases PersonX's knowledge
PersonX does not bite PersonX's nails,PersonX bites PersonX's nails
PersonX does not bite the dust,PersonX bites the dust
PersonX does not fail PersonX's math class,PersonX fails PersonX's math class
PersonX does not distribute among PersonY,PersonX distributes among PersonY
PersonX does not bits PersonX's lip,PersonX bits PersonX's lip
PersonX does not increase PersonY's knowledge,PersonX increases PersonY's knowledge
PersonX does not fail all of PersonX's classes,PersonX fails all of PersonX's classes
PersonX does not blow PersonX's load,PersonX blows PersonX's load
PersonX does not invite PersonY over,PersonX invites PersonY over
PersonX does not fail math,PersonX fails math
PersonX does not invite PersonY to play,PersonX invites PersonY to play
PersonX does not fail the class,PersonX fails the class
PersonX does not blow PersonX's wad,PersonX blows PersonX's wad
PersonX does not blow PersonY's mind,PersonX blows PersonY's mind
PersonX does not distribute in forms without figure,PersonX distributes in forms without figure
PersonX does not invite people,PersonX invites people
PersonX does not fail to even go platinum,PersonX fails to even go platinum
PersonX does not blow bubbles,PersonX blows bubbles
PersonX does not invite people over,PersonX invites people over
PersonX does not blow smoke,PersonX blows smoke
PersonX is not 5 years old,PersonX is 5 years old
PersonX does not fall at PersonY's feet,PersonX falls at PersonY's feet
PersonX does not get snacks,PersonX gets snacks
PersonX does not fall back asleep,PersonX falls back asleep
PersonX does not get so frustrated,PersonX gets so frustrated
PersonX does not blow the whistle,PersonX blows the whistle
PersonX is not PersonY's maid of honor,PersonX is PersonY's maid of honor
PersonX does not distribute in forms without permission,PersonX distributes in forms without permission
PersonX does not divide PersonY into groups,PersonX divides PersonY into groups
PersonX does not blow this popsicle stand,PersonX blows this popsicle stand
PersonX does not fall back to sleep,PersonX falls back to sleep
PersonX does not divorce PersonX's husband,PersonX divorces PersonX's husband
PersonX does not blow through town,PersonX blows through town
PersonX is not PersonY's wife,PersonX is PersonY's wife
PersonX does not fall from grace,PersonX falls from grace
PersonX does not get some exercise,PersonX gets some exercise
PersonX does not do PersonX's best,PersonX does PersonX's best
PersonX does not fall from the tree,PersonX falls from the tree
PersonX does not blow up PersonY's phone,PersonX blows up PersonY's phone
PersonX is not a freshman in college,PersonX is a freshman in college
PersonX does not fall ill,PersonX falls ill
PersonX does not do a wonderful job,PersonX does a wonderful job
PersonX does not get some work done,PersonX gets some work done
PersonX is not a good person,PersonX is a good person
PersonX does not fall in line,PersonX falls in line
PersonX does not get something for nothing,PersonX gets something for nothing
PersonX does not book a ticket,PersonX books a ticket
PersonX is not a good soccer player,PersonX is a good soccer player
PersonX does not do an amazing job,PersonX does an amazing job
PersonX does not borrow PersonY's car,PersonX borrows PersonY's car
PersonX does not fall into the wrong hands,PersonX falls into the wrong hands
PersonX does not get something to drink,PersonX gets something to drink
PersonX does not borrow the car,PersonX borrows the car
PersonX does not do better in school,PersonX does better in school
PersonX does not fall off the back of a lorry,PersonX falls off the back of a lorry
PersonX does not get something to eat,PersonX gets something to eat
PersonX does not borrow this thesis for use,PersonX borrows this thesis for use
PersonX does not fall off the back of a truck,PersonX falls off the back of a truck
PersonX is not a good swimmer,PersonX is a good swimmer
PersonX does not get sunburned,PersonX gets sunburned
PersonX does not do n't have a lot of money,PersonX does n't have a lot of money
PersonX does not fall on PersonY's neck,PersonX falls on PersonY's neck
PersonX does not do n't have many friends,PersonX does n't have many friends
PersonX does not get the book,PersonX gets the book
PersonX does not fall right,PersonX falls right
PersonX does not get the call,PersonX gets the call
PersonX does not boss PersonY around,PersonX bosses PersonY around
PersonX does not fan dance,PersonX fans dance
PersonX does not get the milk,PersonX gets the milk
PersonX does not bow PersonX's heads,PersonX bows PersonX's heads
PersonX is not a little girl,PersonX is a little girl
PersonX does not break PersonX's hip,PersonX breaks PersonX's hip
PersonX does not get the part,PersonX gets the part
PersonX does not fear would lose,PersonX fears would lose
PersonX does not break PersonX's toe,PersonX breaks PersonX's toe
PersonX is not a long drive,PersonX is a long drive
PersonX does not feel ashamed,PersonX feels ashamed
PersonX does not do n't want to fight,PersonX does n't want to fight
PersonX does not get the shoes,PersonX gets the shoes
PersonX is not a quick learner,PersonX is a quick learner
PersonX does not get the shot,PersonX gets the shot
PersonX does not do n't want to waste it,PersonX does n't want to waste it
PersonX does not break PersonY heart,PersonX breaks PersonY heart
PersonX does not feel better,PersonX feels better
PersonX is not a star athlete,PersonX is a star athlete
PersonX does not get the stain,PersonX gets the stain
PersonX does not break PersonY's heart,PersonX breaks PersonY's heart
PersonX does not do not have a lot of money,PersonX does not have a lot of money
PersonX is not a waste of money,PersonX is a waste of money
PersonX does not feel better soon,PersonX feels better soon
PersonX does not get the stain out,PersonX gets the stain out
PersonX is not a web developer,PersonX is a web developer
PersonX does not break free,PersonX breaks free
PersonX does not do odd jobs,PersonX does odd jobs
PersonX does not feel better than ever,PersonX feels better than ever
PersonX does not get there early,PersonX gets there early
PersonX does not do some yard work,PersonX does some yard work
PersonX is not able to find it,PersonX is able to find it
PersonX does not get to PersonY's feet,PersonX gets to PersonY's feet
PersonX does not feel better today,PersonX feels better today
PersonX does not break the mold,PersonX breaks the mold
PersonX does not get to work on time,PersonX gets to work on time
PersonX does not feel cheated,PersonX feels cheated
PersonX is not able to fix it,PersonX is able to fix it
PersonX does not break the news,PersonX breaks the news
PersonX does not get very nervous,PersonX gets very nervous
PersonX does not do the best PersonY could,PersonX does the best PersonY could
PersonX does not feel closer,PersonX feels closer
PersonX is not able to sleep,PersonX is able to sleep
PersonX does not get warm,PersonX gets warm
PersonX does not break the news to PersonY,PersonX breaks the news to PersonY
PersonX does not feel elated,PersonX feels elated
PersonX does not get work,PersonX gets work
PersonX is not also nervous,PersonX is also nervous
PersonX does not do very well in school,PersonX does very well in school
PersonX is not always busy,PersonX is always busy
PersonX does not feel embarrassed,PersonX feels embarrassed
PersonX does not break up with PersonY,PersonX breaks up with PersonY
PersonX does not give PersonX's all,PersonX gives PersonX's all
PersonX does not do well in school,PersonX does well in school
PersonX is not an old man,PersonX is an old man
PersonX does not break wind,PersonX breaks wind
PersonX does not give PersonX's name,PersonX gives PersonX's name
PersonX does not do yard work,PersonX does yard work
PersonX does not feel funny,PersonX feels funny
PersonX does not bring PersonY in,PersonX brings PersonY in
PersonX is not angry with PersonY,PersonX is angry with PersonY
PersonX does not donate plasma,PersonX donates plasma
PersonX does not bring PersonY into conflict,PersonX brings PersonY into conflict
PersonX is not as good as new,PersonX is as good as new
PersonX does not feel helpless,PersonX feels helpless
PersonX does not drag PersonY along,PersonX drags PersonY along
PersonX does not bring down the house,PersonX brings down the house
PersonX does not give PersonX's opinion,PersonX gives PersonX's opinion
PersonX is not at PersonX's desk,PersonX is at PersonX's desk
PersonX does not feel hopeless,PersonX feels hopeless
PersonX does not drag through the mud,PersonX drags through the mud
PersonX does not give PersonX's presentation,PersonX gives PersonX's presentation
PersonX does not bring people together,PersonX brings people together
PersonX is not at PersonX's grandmother's house,PersonX is at PersonX's grandmother's house
PersonX does not draw PersonX's conclusions,PersonX draws PersonX's conclusions
PersonX does not give PersonY PersonX's name,PersonX gives PersonY PersonX's name
PersonX does not bring the puppy,PersonX brings the puppy
PersonX is not at PersonY's grandmother's house,PersonX is at PersonY's grandmother's house
PersonX does not draw PersonX's last breath,PersonX draws PersonX's last breath
PersonX does not bring the puppy home,PersonX brings the puppy home
PersonX does not give PersonY PersonX's opinion,PersonX gives PersonY PersonX's opinion
PersonX is not at the bar with friends,PersonX is at the bar with friends
PersonX does not give PersonY a account,PersonX gives PersonY a account
PersonX does not feel lucky,PersonX feels lucky
PersonX does not draw PersonX's sword,PersonX draws PersonX's sword
PersonX does not give PersonY a bath,PersonX gives PersonY a bath
PersonX does not brush PersonY's hair,PersonX brushes PersonY's hair
PersonX is not coming to an end,PersonX is coming to an end
PersonX does not draw PersonY conclusion,PersonX draws PersonY conclusion
PersonX does not feel nervous,PersonX feels nervous
PersonX is not covered in mud,PersonX is covered in mud
PersonX does not draw the short straw,PersonX draws the short straw
PersonX does not give PersonY a bit,PersonX gives PersonY a bit
PersonX does not give PersonY a dinner,PersonX gives PersonY a dinner
PersonX does not feel refreshed,PersonX feels refreshed
PersonX is not deferred until test results are in,PersonX is deferred until test results are in
PersonX does not give PersonY a name,PersonX gives PersonY a name
PersonX does not dress in PersonX's clothes,PersonX dresses in PersonX's clothes
PersonX is not doing PersonX's laundry,PersonX is doing PersonX's laundry
PersonX does not feel relief,PersonX feels relief
PersonX does not dress in PersonY's clothes,PersonX dresses in PersonY's clothes
PersonX is not even worse,PersonX is even worse
PersonX does not give PersonY a nod,PersonX gives PersonY a nod
PersonX is not excited and nervous,PersonX is excited and nervous
PersonX does not build castles in the air,PersonX builds castles in the air
PersonX does not drive PersonX's new car,PersonX drives PersonX's new car
PersonX does not give PersonY a note,PersonX gives PersonY a note
PersonX does not feel sad,PersonX feels sad
PersonX is not feeling sick,PersonX is feeling sick
PersonX does not drive all night,PersonX drives all night
PersonX does not build muscle,PersonX builds muscle
PersonX does not feel so nervous,PersonX feels so nervous
PersonX is not finally pregnant,PersonX is finally pregnant
PersonX does not drive all the way,PersonX drives all the way
PersonX does not give PersonY a small smile,PersonX gives PersonY a small smile
PersonX does not build something,PersonX builds something
PersonX does not feel so sad,PersonX feels so sad
PersonX does not drive all the way back,PersonX drives all the way back
PersonX is not fired from PersonX's job,PersonX is fired from PersonX's job
PersonX does not bully at school,PersonX bullies at school
PersonX does not feel terrible,PersonX feels terrible
PersonX does not bully in school,PersonX bullies in school
PersonX is not found dead morning at PersonY's home in,PersonX is found dead morning at PersonY's home in
PersonX does not drive anyway,PersonX drives anyway
PersonX does not give PersonY a warning,PersonX gives PersonY a warning
PersonX does not burn PersonX's arm,PersonX burns PersonX's arm
PersonX does not give PersonY account,PersonX gives PersonY account
PersonX does not drive down the highway,PersonX drives down the highway
PersonX is not getting ready,PersonX is getting ready
PersonX does not feel the heat,PersonX feels the heat
PersonX does not burn badly,PersonX burns badly
PersonX is not getting ready for school,PersonX is getting ready for school
PersonX does not give PersonY an allowance,PersonX gives PersonY an allowance
PersonX does not feel unappreciated,PersonX feels unappreciated
PersonX does not give PersonY an f,PersonX gives PersonY an f
PersonX does not feel unhappy,PersonX feels unhappy
PersonX does not drive on the highway,PersonX drives on the highway
PersonX is not getting ready for work,PersonX is getting ready for work
PersonX does not burn the food,PersonX burns the food
PersonX does not give PersonY children,PersonX gives PersonY children
PersonX does not feel very embarrassed,PersonX feels very embarrassed
PersonX does not bust PersonY,PersonX busts PersonY
PersonX is not grocery shopping,PersonX is grocery shopping
PersonX does not drive straight,PersonX drives straight
PersonX is not hard to find,PersonX is hard to find
PersonX does not bust a nut,PersonX busts a nut
PersonX does not drive to the beach,PersonX drives to the beach
PersonX is not hot and humid,PersonX is hot and humid
PersonX does not give PersonY confidence,PersonX gives PersonY confidence
PersonX does not buy PersonX's one,PersonX buys PersonX's one
PersonX does not feel very lucky,PersonX feels very lucky
PersonX is not in a good mood,PersonX is in a good mood
PersonX does not drive to the office,PersonX drives to the office
PersonX does not feel very nervous,PersonX feels very nervous
PersonX does not buy PersonX's own house,PersonX buys PersonX's own house
PersonX does not give PersonY courage,PersonX gives PersonY courage
PersonX does not feel very sad,PersonX feels very sad
PersonX does not buy PersonY a car,PersonX buys PersonY a car
PersonX does not drop PersonY off at home,PersonX drops PersonY off at home
PersonX does not give PersonY help,PersonX gives PersonY help
PersonX does not file a report,PersonX files a report
PersonX is not in love with PersonY,PersonX is in love with PersonY
PersonX does not buy PersonY a dog,PersonX buys PersonY a dog
PersonX does not fill PersonY's lungs,PersonX fills PersonY's lungs
