event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not leave alone,"[""none"", ""is pestered"", ""gets into a fight"", ""none""]","[""none"", ""annoyed"", ""frustrated""]","[""none"", ""to see a movie"", ""to hang out"", ""to get away from PersonX"", ""call for help""]","[""lonely"", ""unhappy"", ""pushy"", ""assertive"", ""rude"", ""nosy"", ""inquisitive"", ""overbearing"", ""impatient""]","[""feels inadequate"", ""gets frustrated"", ""gets told to leave"", ""gets in an argument"", ""none""]","[""to have company"", ""to share a cab"", ""to talk to someone"", ""to interact with someone""]","[""none"", ""to go to work"", ""to get ready"", ""to talk to someone"", ""to get along with someone"", ""none""]","[""smart for splitting cab fare"", ""attractive"", ""friendly"", ""excited""]","[""to meet a long term partner"", ""to go back to their place"", ""to play"", ""to feel tired"", ""to see the person again"", ""to see a movie"", ""to bother them"", ""to harass someone""]",tst,PersonX leaves alone
PersonX does not read the note,"[""none"", ""none""]","[""none""]","[""none"", ""none""]","[""careless"", ""aloof"", ""hurried"", ""illiterate"", ""not careful"", ""unaware""]","[""want to go home"", ""leave the notes"", ""The wind wisks the note away from X"", ""Someone asks X what the note said"", ""X must admit he does not know"", ""Suspended from school"", ""Kicked out of class"", ""fail the test"", ""become regretful""]","[""to do something else"", ""to ignore the note"", ""to ignore it"", ""to show they don't care"", ""avoid bad news""]","[""none"", ""none"", ""to be in a location where someone else has been"", ""to notice a note that was left behind""]","[""curious"", ""bored"", ""indifferent"", ""uninformed"", ""guilty""]","[""fails test"", ""brakes  rules"", ""to ask someone else to read the note to them"", ""to crumple up the note and throw it away"", ""to change careers"", ""to change a course"", ""to willfully ignore the message in the note"", ""to respect the privacy of the note's intended recipient""]",tst,PersonX reads the note
PersonX does not find PersonY at home,"[""none"", ""gets yelled at by personx"", ""gets personx worried"", ""none""]","[""worried"", ""scared"", ""none""]","[""none"", ""none""]","[""unobservant"", ""inattentive"", ""distracted"", ""disappointed"", ""lonely"", ""incurious"", ""frustrated"", ""lost"", ""hopeless""]","[""thinks about leaving"", ""trips and falls"", ""screams in pain"", ""starts to worry"", ""starts to be lonely"", ""gets surprised"", ""gets cautious"", ""none""]","[""none""]","[""Go to PersonY's home"", ""none"", ""find PersonY"", ""go to PersonY's house"", ""unaware of PersonY's whereabout"", ""away from PersonY's place""]","[""concerned"", ""confused"", ""panic"", ""thoughts racing"", ""disbelief""]","[""to look out"", ""shares the details"", ""call PersonY"", ""look at his phone"", ""call others' for help"", ""text or email PersonY""]",tst,PersonX finds PersonY at home
PersonX does not want to come back,"[""none"", ""gets the answer that PersonX hates it there"", ""PersonX tells them he wants to leave"", ""none""]","[""worried"", ""angry"", ""none""]","[""none"", ""none""]","[""lingering"", ""reticent"", ""reluctant"", ""cowardly"", ""gone"", ""forgotten"", ""independent"", ""slighted""]","[""none"", ""is asked if they're having a good time"", ""is asked if they want to go home"", ""none"", ""Kicked out of house"", ""Forced to find new place to live""]","[""to have fun outside"", ""to avoid family"", ""none""]","[""none"", ""none"", ""to leave"", ""to come once""]","[""troubled"", ""upset"", ""exhausted"", ""busy""]","[""to get away from the area"", ""to leave as soon as possible"", ""to be alone"", ""to get away from it all"", ""to go home"", ""to stay where they are""]",tst,PersonX wants to come back
PersonX does not get shot,"[""gets in trouble"", ""gets sent to jail"", ""none"", ""none""]","[""none""]","[""none"", ""to reload their gun"", ""to get out their crossbow"", ""none""]","[""lucky"", ""skilled"", ""careful"", ""skilled"", ""nimble"", ""lucky"", ""thankful""]","[""is safe"", ""is not injured"", ""none"", ""becomes relieved"", ""smiles"", ""asked questions by police"", ""makes the news""]","[""to survive"", ""to stay healthy"", ""none""]","[""none"", ""to dodge the bullet"", ""to hide behind a wall"", ""to see someone with a gun"", ""to avoid the gunfire"", ""none""]","[""relieved"", ""lucky"", ""grateful"", ""reassured""]","[""to be grateful"", ""to be nice"", ""to go to the police"", ""to buy a scythe and get some revenge"", ""to escape the area"", ""to report the person to the police"", ""to avoid confrontation"", ""to be respectful""]",tst,PersonX gets shot
PersonX does not get a call back,"[""none"", ""none""]","[""none""]","[""none"", ""none""]","[""distant"", ""regretful"", ""patient"", ""waiting"", ""disappointed"", ""anxious"", ""ignored"", ""rejected""]","[""kind of busy"", ""speaking with someone else"", ""continues to wait"", ""rings them back"", ""searches for the return number"", ""frowns"", ""avoided"", ""cries"", ""gets rejected""]","[""none""]","[""none"", ""make a call"", ""schedule a time to be called back"", ""to have applied for a new job"", ""to not be selected for the position""]","[""worried"", ""scared"", ""disappointed"", ""angry""]","[""call the person back"", ""check his phone"", ""to make a call"", ""to reach out"", ""call the place back"", ""send an email about the situation"", ""to apply for another job"", ""to be offered the position""]",tst,PersonX gets a call back
PersonX doesn't eat carbs,"[""none""]","[""none""]","[""none""]","[""healthy"", ""careful"", ""thin"", ""diligent"", ""smart""]","[""gets praised"", ""eats salad"", ""loses weight"", ""becomes skinnier"", ""gets skinner"", ""is hungry"", ""becomes critized by friend"", ""doesn't gain weight""]","[""to lose weight"", ""to not cause an allergic reaction"", ""to be healthy"", ""to be fit""]","[""none"", ""to surf the net for diet suggestions"", ""to read about low carb diets"", ""to be allergy on carbs"", ""to hate carbs"", ""avoid carbs"", ""eat other things""]","[""healthy"", ""hungry/ craving"", ""strong"", ""well"", ""thin""]","[""gave them a way"", ""refused to buy one"", ""to clear all the carb foods out of the cupboard"", ""to make a carb free shopping list"", ""to go to the grocery store"", ""to only buy food on the shopping list"", ""to order food"", ""to eat"", ""keep avoiding carbs"", ""find replacement foods"", ""review his diet"", ""talk to his doctor about his diet and ask for recommendations""]",tst,PersonX eats toast
Person X doesn't care.,"[""none""]",[],"[""none""]","[""ignorant"", ""unconcerned"", ""thoughtless"", ""unmoved"", ""selfish""]","[""to be alone"", ""break the relationship"", ""think about others"", ""owe way""]",[],"[""none""]",[],"[""to start caring"", ""to make other plans""]",tst,PersonX wants so badly
PersonX isn't hungry.,"[""none""]","[""none""]","[""none""]","[""full"", ""sleepy"", ""hesitant"", ""scared""]","[""misses a meal"", ""becomes full"", ""none""]","[""none""]","[""already eat much"", ""be an obsess"", ""none"", ""to go out"", ""to eat a lot""]","[""normal"", ""nothing"", ""full of energy"", ""ready to work"", ""overjoyed"", ""grateful"", ""Full"", ""Content""]","[""to avoid eat"", ""save food for later"", ""to take rest"", ""to get good sleep"", ""to workout"", ""to sleep""]",tst,PersonX begins to eat it
PersonX  cannot fix it.,"[""none""]",[],"[""none""]","[""unskilled"", ""helpless"", ""incompetent"", ""inadequate""]","[""is fired from the job"", ""loses a promotion"", ""person x bought a new one"", ""person x want to fix it"", ""person x tries to fix the problem but he can't"", ""person x never ask any help""]",[],"[""none"", ""try to fix it"", ""fail in fixing it""]",[],"[""to find help"", ""to solve"", ""call a professional"", ""replace it""]",tst,PersonX is able to fix it
PersonX won't let PersonY get a word in.,"[""becomes frustrated at person x"", ""looses respect for person x"", ""frowns at person x out of frustration"", ""none""]",[],"[""none"", ""get angry with the person"", ""leave the place""]","[""rude"", ""selfish"", ""talkative"", ""a motormouth""]","[""eventually gets yelled at by person y for being rude"", ""looses a friend"", ""gets upset"", ""becomes concerned""]",[],"[""none"", ""must be close with person Y"", ""have an anmity with the person""]",[],"[""to be alone"", ""to stay home"", ""allow the person to get a word"", ""keep obstructing the person from getting a word""]",tst,PersonX lets PersonY explain
PersonX does not cry.,"[""none""]","[""none""]","[""none""]","[""still"", ""tempered"", ""strong"", ""stubborn""]","[""diagnosed with glaucoma"", ""diagnosed with dry eye"", ""none""]","[""none""]","[""none"", ""to play"", ""to buy dress"", ""to hear something sad"", ""to see something sad"", ""to be sad""]","[""In control"", ""Emotionless"", ""fine"", ""uncertain"", ""good"", ""relaxed"", ""surprised""]","[""strong person"", ""speak openly to comfortable"", ""to drink coffee"", ""to watch movie"", ""to feel happy"", ""to cheer up""]",tst,PersonX begins crying
PersonX is not proud of PersonX.,"[""none""]",[],"[""receive an apology"", ""give reassurance"", ""none""]","[""sad"", ""depressed"", ""disappointing"", ""ashamed""]","[""Told to stop being so hard on theirself"", ""Encouraged by parents"", ""to cook food"", ""get some sleep""]",[],"[""do something embarrassing"", ""feel embarrassed"", ""none""]",[],"[""change their behavior"", ""apologize"", ""to be by themselves"", ""to remain unfocused""]",tst,PersonX meets PersonX's standards
PersonX isn't working.,"[""none""]",[],"[""none""]","[""lazy"", ""lethargic"", ""unmotivated"", ""incapable""]","[""finds a job"", ""gets evicted"", ""becomes homeless"", ""is broke"", ""gets laughed at""]",[],"[""none""]",[],"[""to be lazy"", ""to collect welfare"", ""to find a job"", ""to volunteer"", ""to go to college""]",tst,PersonX starts working again
PersonX doesn't get something to eat,"[""none""]",[],"[""none""]","[""hungry"", ""unfed"", ""satiated"", ""full"", ""conscientious""]","[""gets hungrier"", ""stomach growls"", ""yells"", ""walks away""]",[],"[""none""]",[],"[""find something to eat"", ""to eat"", ""to have a little something to eat"", ""to have a drink""]",tst,PersonX gets something to eat
PersonX doesn't help PersonY,"[""none"", ""cannot complete something"", ""loses a friend""]","[""abandoned"", ""lonely"", ""unhappy"", ""worried"", ""disliked"", ""abandoned"", ""lonely""]","[""to vent to a friend"", ""to relax at home"", ""none""]","[""uncaring"", ""not in the mood"", ""rude""]","[""none"", ""gets yelled at"", ""is in trouble""]","[""to spend their time in a different way"", ""person Y to suffer"", ""none"", ""to mind his own business"", ""PersonY to suffer"", ""to spend their time in a different way"", ""person Y to suffer""]","[""ignore person y"", ""walks away"", ""none"", ""to hate person y"", ""to have fight with person y""]","[""powerful"", ""ashamed"", ""in control"", ""guilt, ashamed"", ""worried"", ""smug"", ""superior"", ""powerful"", ""ashamed"", ""in control""]","[""follow personX"", ""get personX's attention"", ""ask why they were ignored"", ""apologizes back"", ""helps person y"", ""to talk with person y"", ""to solve the problem""]",tst,PersonX directs PersonY
PersonX doesn't follow instructions,"[""none""]",[],"[""none""]","[""unruly"", ""dull"", ""brash"", ""impulsive""]","[""they make a mistake"", ""the boss has a talk with them"", ""fails the test"", ""is fired""]",[],"[""none""]",[],"[""to act on their own"", ""to be more fun"", ""to correct errors"", ""to finish their assignment""]",tst,PersonX follows PersonX's instructions
PersonX doesn't go to the store,"[""none""]",[],"[""none""]","[""happy"", ""nice"", ""lazy"", ""unmotivated""]","[""gets hungry"", ""runs out of groceries"", ""stops having food""]",[],"[""none""]",[],"[""to order things on line"", ""to have delivery instead"", ""to see movies"", ""to go abroad""]",tst,PersonX gets the milk
PersonX won't try sushi,"[""none""]",[],"[""none""]","[""stubborn"", ""closed-minded"", ""close minded""]","[""throat clears up"", ""palms sweat"", ""misses out"", ""won't know""]",[],"[""none""]",[],"[""to eat spicy"", ""to go early to office"", ""confidences"", ""brave and clam""]",tst,PersonX tries sushi before
PersonX doesn't know who PersonY is.,"[""none""]",[],"[""none"", ""To meet X"", ""Spend time with X""]","[""uninvolved"", ""aloof"", ""curious"", ""ignorant""]","[""none"", ""lets themselves down"", ""remains unfocused""]",[],"[""none""]",[],"[""to be alone"", ""to be safe"", ""introduce himself to Y"", ""get close to Y""]",tst,PersonX knows PersonY's name
PersonX doesn't want to play with PersonY,"[""gets rejected"", ""gets tired"", ""none""]",[],"[""to tell PersonX off"", ""to get names of other players"", ""none""]","[""unsociable"", ""cold"", ""introverted"", ""antisocial"", ""unfriendly""]","[""none"", ""get exercise"", ""play alone""]",[],"[""none""]",[],"[""to tell PersonY he is not available to play"", ""to suggest someone else PersonY can play with"", ""to be alone"", ""to order foods""]",tst,PersonX wants to play with PersonY
PersonX doesn't want to read,"[""none""]",[],"[""none""]","[""physically active"", ""nota bookworm"", ""stubborn"", ""unintelligent""]","[""get exercise"", ""go out"", ""consider to mom"", ""books""]",[],"[""none""]",[],"[""find something else to do"", ""watch a movie"", ""books"", ""library""]",tst,PersonX wants to read
PersonX does not show up for the match,"[""none""]",[],"[""none""]","[""absent-minded"", ""thoughtless"", ""uncompetitive"", ""lazy""]","[""weakens"", ""relaxes and thinks"", ""gets laughed at"", ""loses""]",[],"[""none"", ""to match"", ""doesn't likes to match""]",[],"[""to let others know why they were not at the match"", ""to see if they would be able to go to the next one"", ""leave that match"", ""to do another show""]",tst,PersonX wins the match
PersonX is not afraid of heights,"[""none""]",[],"[""none""]","[""brave"", ""adventurous"", ""fearless""]","[""none"", ""gets invited to go skydiving"", ""PersonX's parachute explodes mid-air""]",[],"[""to climb the mountain"", ""to stand in the end of the mountain"", ""none""]",[],"[""to be brave"", ""to climb down"", ""to learn how to go skydiving"", ""to sit at the edge of the cliff""]",tst,PersonX has a fear of heights
PersonX does not believe in god,"[""none""]",[],"[""none""]","[""atheistic"", ""secular"", ""agnostic"", ""unbelieving""]","[""person x is a atheist"", ""person x believe on him"", ""person x believes his talent"", ""to improve the skills"", ""avoid the religion things""]",[],"[""none""]",[],"[""to live a secular life"", ""to avoid church"", ""to explain their beliefs"", ""to hold firm in their beliefs""]",tst,PersonX walks humbly with PersonX's god
PersonX doesn't eat it,"[""none""]","[""none"", ""embarrassed"", ""annoyed""]","[""none""]","[""choosy"", ""picky"", ""not hungry"", ""stuffed""]","[""dog snatches it"", ""it melts"", ""Personx stomach starts making sounds"", ""Gets grumpy""]","[""personx does not want to eat"", ""personx is not hungry"", ""to eat something else"", ""to eat something good"", ""none""]","[""to not be hungry"", ""to not have food"", ""to do lots of work"", ""to finish the project in time"", ""none""]","[""personx feels hungry"", ""personx feels sad"", ""content"", ""happy"", ""satisfied""]","[""to go get food"", ""to drive to a restaurant"", ""to eat food"", ""to take good sleep"", ""they don't like it"", ""go to restaurant""]",tst,PersonX eats it
PersonX doesn't plan the trip,"[""none""]",[],"[""none""]","[""lazy"", ""tired"", ""unthoughtful"", ""forgetting""]","[""none"", ""gets stranded"", ""not ready""]",[],"[""none""]",[],"[""to be spontaneous on the trip"", ""to stay happy-go-lucky""]",tst,PersonX plans the trip
PersonX can't find PersonY in the act,"[""none"", ""is called on the loudspeaker"", ""is spotted at the end of the act""]","[""none"", ""sad"", ""worried""]","[""none""]","[""careless"", ""absentminded"", ""confused"", ""unlucky""]","[""keeps looking"", ""is wary"", ""none""]","[""none""]","[""none""]","[""bewildered"", ""more determined to find PersonY"", ""worried"", ""sad"", ""confused""]","[""try to find y"", ""mingle with friend"", ""to feel ashamed"", ""to be positive"", ""x search y"", ""then put a notice to find""]",tst,PersonX catches PersonY red-handed
PersonY does not notice personX,"[""gets yelled at"", ""gets a guilt trip"", ""none""]","[""unaware"", ""like they didn't see them"", ""unhappy"", ""sad"", ""ignored""]","[""none""]","[""Unfocused"", ""Daydreamer"", ""careless"", ""mindless""]","[""cries"", ""gets a hug"", ""acts friendly"", ""finds themselves useful""]","[""none""]","[""meets person y"", ""tries to get person's y attention"", ""none""]","[""like they want to talk to personY"", ""Like they were looked over"", ""unsocialable"", ""unfriendly"", ""relaxed"", ""focused""]","[""moves on about their day"", ""cries because of being ignored"", ""apologizes"", ""feels sorry"", ""to hurry in his work"", ""to hide from person y""]",tst,PersonX catches PersonY's eye
PersonX doesn't meet PersonY's standards,"[""none""]",[],"[""none""]","[""inferior"", ""inept"", ""lazy"", ""undetermined""]","[""try to improve his level"", ""might work harder"", ""appreciate y standards"", ""play game with y""]",[],"[""to express negative feelings"", ""to remain unfocused"", ""none""]",[],"[""change their ways"", ""improve themselves""]",tst,PersonX meets PersonY's standards
PersonX does not gamble.,"[""none""]","[""none""]","[""none""]","[""careful"", ""cautious""]","[""saves money"", ""gets wealthy"", ""he has money to pay the bills"", ""he can buy the things he needs""]","[""save their money"", ""not get addicted"", ""to not waste money"", ""to be sure of their choices"", ""to save money"", ""to develop good habits""]","[""to be loyal"", ""to be a good person"", ""none"", ""to do away from gambling"", ""live a life with no bets""]","[""content"", ""proud"", ""good for not taking risks"", ""sure of themself"", ""happy""]","[""to earn money in a good way"", ""to be happy"", ""to have nothing to do with gambling"", ""to have a gambling free life"", ""to earn on his own"", ""to earn money in correct way""]",tst,PersonX bets PersonY
PersonX can't find their phone,"[""none""]",[],"[""none""]","[""lost"", ""uncaring"", ""confused""]","[""looks around"", ""doubts memory"", ""screams"", ""shout""]",[],"[""to put their phone down"", ""to search for their phone"", ""none""]",[],"[""to buy a new phone"", ""to give up"", ""to locate the phone"", ""to  make a call""]",tst,PersonX puts the phone
PersonX doesn't know where it is,"[""none""]",[],"[""none""]","[""unaware"", ""ignorant"", ""clueless""]","[""arrives late"", ""ends up in the wrong place"", ""Offered help from mother"", ""Told to be more careful with placing things""]",[],"[""none""]",[],"[""to look through the folders"", ""check the desk"", ""to ask for help"", ""to look for it""]",tst,PersonX is able to find it
PersonX cannot locate PersonY.,"[""none"", ""are never found"", ""are hurt""]",[],"[""to remain hidden"", ""to reveal their master plan"", ""none""]","[""puzzled"", ""confused"", ""frantic"", ""worried""]","[""fear creeps in mind"", ""hair stands up on neck"", ""cries out in pain"", ""are panicked"", ""body trembles with worry""]",[],"[""to search"", ""to drive to the location"", ""none""]",[],"[""to keep looking for clues"", ""to check their phone"", ""to call the police"", ""file a missing persons report""]",tst,PersonX finds PersonY anywhere
PersonX doesn't persuade PersonY's opinion.,"[""they gain respect"", ""the miss out"", ""avoided"", ""ignored""]",[],"[""none"", ""to go home and watch tv"", ""brag to others""]","[""ineffective"", ""incapable"", ""weak"", ""unconvincing"", ""shy""]","[""they lose credibility"", ""they are rejected"", ""avoided"", ""ignored""]",[],"[""none""]",[],"[""to be on his own"", ""to be straight forward"", ""to pretend to be agreeable"", ""to do a sneak attack""]",tst,PersonX forms PersonY opinion
PersonX does not have a business,"[""none""]","[""none""]","[""none""]","[""unmotivated"", ""lazy"", ""upset"", ""failure""]","[""doesn't have to hire anyone"", ""doesn't need a bookkeeper"", ""gets a paycheck"", ""is approached about a business opportunity""]","[""none"", ""to avoid the risks of business"", ""to save time""]","[""none"", ""to study well"", ""to work hard""]","[""unsatisfied"", ""lacking motivation"", ""left out"", ""unaccomplished"", ""the same as they did before"", ""like they might consider starting a business""]","[""to start a business"", ""to work for others"", ""gets broke"", ""looks for a job"", ""to find a job"", ""to earn money""]",tst,PersonX advertises PersonX's business
