neg_event,event
PersonX breaks glasses,PersonX breaks free
PersonX fixes PersonX's hip,PersonX breaks PersonX's hip
PersonX fixes PersonX's hit with surgery.,PersonX breaks PersonX's hip
PersonX's toe is healed.,PersonX breaks PersonX's toe
PersonX fixes PersonX's toe,PersonX breaks PersonX's toe
PersonX confesses their love to PersonY.,PersonX breaks PersonY heart
PersonX loves Persony.,PersonX breaks PersonY heart
PersonX is in love with PersonY,PersonX breaks PersonY's heart
PersonX falls in love with PersonY.,PersonX breaks PersonY's heart
PersonX conforms.,PersonX breaks the mold
PersonX follows traditions,PersonX breaks the mold
PersonX is the last to know,PersonX breaks the news
PersonX finds out a secret,PersonX breaks the news
PersonX keeps the news secret from PersonY,PersonX breaks the news to PersonY
PersonX keeps the news from PersonY,PersonX breaks the news to PersonY
PersonX proposes marriage to PersonY,PersonX breaks up with PersonY
PersonX burps,PersonX breaks wind
PersonX controls their gas.,PersonX breaks wind
PersonX is a wallflower,PersonX brings down the house
PersonX cancels the party.,PersonX brings down the house
PersonX stirs up controversy,PersonX brings people together
PersonX  is disruptive,PersonX brings people together
PersonX takes PersonY out,PersonX brings PersonY in
PersonX helps out PersonY.,PersonX brings PersonY into conflict
PersonX leaves the puppy,PersonX brings the puppy
PersonX puts their dog up for adoption.,PersonX brings the puppy home
PersonX gives the puppy away,PersonX brings the puppy home
PersonX messes up PersonY's hair,PersonX brushes PersonY's hair
PersonX shaves person Y's hair,PersonX brushes PersonY's hair
PersonX builds castles in the sand,PersonX builds castles in the air
PersonX concentrates on facts.,PersonX builds castles in the air
PersonX loses muscle.,PersonX builds muscle
PersonX does cardio to lean out,PersonX builds muscle
PersonX destroys something,PersonX builds something
PersonX tears down something.,PersonX builds something
PersonX is a bully at school,PersonX bullies at school
PersonX treats fellow classmates with respect,PersonX bullies at school
PersonX is bullied in school,PersonX bullies in school
PersonX counsels in school,PersonX bullies in school
PersonX slathers themself in sunscreen.,PersonX burns badly
PersonX massages PersonX's leg,PersonX burns PersonX's arm
personx bandages personx's arm,PersonX burns PersonX's arm
PersonX cooks the food perfectly,PersonX burns the food
PersonX busts a pipe,PersonX busts a nut
PersonX sits back and relaxes,PersonX busts a nut
PersonX hugs PersonY.,PersonX busts PersonY
PersonX sells a car,PersonX buys a car
PersonX relies on public transportation,PersonX buys a car
PersonX sells a computer,PersonX buys a computer
PersonX sells a computer.,PersonX buys a computer
PersonX buys a cat,PersonX buys a dog
PersonX sells a house,PersonX buys a house
PersonX steals a house,PersonX buys a house
PersonX sells a laptop,PersonX buys a laptop
PersonX buys a desktop.,PersonX buys a laptop
PersonX sells a parrot.,PersonX buys a parrot
PersonX steals a parrot,PersonX buys a parrot
PersonX sold a snack to someone.,PersonX buys a snack
PersonX decides to fast,PersonX buys a snack
PersonX sells a television,PersonX buys a television
PersonX steals a television,PersonX buys a television
PersonX splurges an gets a high end vehicle,PersonX buys a used car
PersonX buys a brand new car.,PersonX buys a used car
PersonX sells a used one.,PersonX buys a used one
PersonX buys a new one,PersonX buys a used one
PersonX buys a salad,PersonX buys cookies
PersonX sells dog food.,PersonX buys dog food
PersonX needs dog food.,PersonX buys dog food
PersonX buys a car,PersonX buys gas
PersonX sells gas,PersonX buys gas
PersonX returns the one he bought,PersonX buys one
PersonX sells one,PersonX buys one
PersonX puts the product back,PersonX buys one anyway
PersonX puts their money into savings.,PersonX buys one anyway
PersonX makes PersonY pay the bill,PersonX buys one for PersonY
PersonX only buys on for someone else.,PersonX buys PersonX's one
PersonX rents PersonX's house,PersonX buys PersonX's own house
PersonX rents an apartment.,PersonX buys PersonX's own house
PersonX takes away PersonY's car,PersonX buys PersonY a car
PersonX buys PersonY a cat,PersonX buys PersonY a dog
PersonX steals PersonY's dog.,PersonX buys PersonY a dog
PersonX gives PersonY one,PersonX buys PersonY one
PersonX buys themselves one,PersonX buys PersonY one
PersonX takes PersonY's.,PersonX buys PersonY's one
PersonX sells the car,PersonX buys the car
PersonX steals the computer.,PersonX buys the computer
PersonX sells the computer,PersonX buys the computer
PersonX sells the house,PersonX buys the house
PersonX sells the house.,PersonX buys the house
PersonX calls a shovel a dog,PersonX calls a shovel a shovel
PersonX calls a  shovel a rake,PersonX calls a shovel a shovel
PersonX does first aid,PersonX calls an ambulance
PersonX cancels their cellphone,PersonX calls around
PersonX sleeps around.,PersonX calls around
PersonX whispers for PersonY,PersonX calls for PersonY
PersonX shoos PersonY,PersonX calls for PersonY
PersonX signs at PersonX's best friend,PersonX calls PersonX's best friend
PersonX calls PersonX's ex-girlfriend.,PersonX calls PersonX's best friend
PersonX texts PersonX's son.,PersonX calls PersonX's son
PersonX ignores PersonX's son,PersonX calls PersonX's son
PersonX shows up to work.,PersonX calls PersonX's work
PersonX receives a call from PersonX's work.,PersonX calls PersonX's work
PersonX takes PersonY to the hospital.,PersonX calls PersonY ambulance
PersonX calls PersonY an Uber,PersonX calls PersonY ambulance
PersonX calls PersonY at home,PersonX calls PersonY at work
PersonX phone is broken.,PersonX calls PersonY at work
PersonY calls PersonX the next day,PersonX calls PersonY the next day
PersonX neglects to call PersonY,PersonX calls PersonY the next day
Person X called person Y yesterday,PersonX calls PersonY this morning
personx calls persony in the middle of the night,PersonX calls PersonY this morning
PersonX calls PersonY's dad,PersonX calls PersonY's son
PersonX gets a call from PersonY's son,PersonX calls PersonY's son
PersonX sends PersonY an email.,PersonX calls PersonY's work
PersonX sends PersonY an email,PersonX calls PersonY's work
PersonX died,PersonX calls the ambulance
PersonX calls the pizza parlor,PersonX calls the ambulance
PersonX starts a fire,PersonX calls the fire department
PersonX moved away from PersonX's family,PersonX camps with PersonX's family
PersonX stays at a hotel with PersonY's family.,PersonX camps with PersonY's family
PersonX is very concerned.,PersonX can care less
PersonX cares very much.,PersonX can care less
PersonX expected to see this,PersonX can n't believe PersonX's eyes
PersonX believes PersonX's eyes,PersonX can n't believe PersonX's eyes
PersonX can believe PersonX's luck.,PersonX can n't believe PersonX's luck
PersonX thinks everyone has luck,PersonX can n't believe PersonY's luck
PersonX believes in PersonY's luck,PersonX can n't believe PersonY's luck
PersonX relaxes via meditation,PersonX can n't take it anymore
PersonX is bored by what PersonX sees.,PersonX can not believe PersonX's eyes
PersonX offers to help PersonY,PersonX can not help PersonY
PersonX gives aid to PersonY.,PersonX can not help PersonY
PersonX gets over a cold,PersonX catches a cold
PersonX catches a coronavirus,PersonX catches a cold
PersonX rips apart the flies.,PersonX catches flies
PersonX catches fish,PersonX catches flies
PersonX is bland and quiet,PersonX catches my attention
PersonX is missing.,PersonX catches my attention
PersonX bores me,PersonX catches my eye
Person X blends in well.,PersonX catches my eye
PersonX misses the bus,PersonX catches PersonX's bus
PersonX misses PersonX's bus.,PersonX catches PersonX's bus
PersonX lost PersonX's dog while watching him.,PersonX catches PersonX's dog
PersonX releases PersonX's dog,PersonX catches PersonX's dog
PersonY ignores personX,PersonX catches PersonY eye
PersonX loses PersonY's interest,PersonX catches PersonY eye
PersonY gets away with it.,PersonX catches PersonY red-handed
PersonX loses PersonY's attention,PersonX catches PersonY's attention
personx catches persony's ferret,PersonX catches PersonY's dog
PersonX lets PersonY's dog run free,PersonX catches PersonY's dog
PersonX stays inside the house away from the sun.,PersonX catches some rays
PersonX is out in the rain,PersonX catches some rays
PersonX missed the bus,PersonX catches the bus
PersonX walks to work,PersonX catches the bus to work
PersonX misses the bus to work,PersonX catches the bus to work
PersonX releases the dog,PersonX catches the dog
PersonX loses the dog.,PersonX catches the dog
PersonX challenges PersonX's friend to a nap,PersonX challenges PersonX's friend to a race
PersonX's friend challenges PersonX to a race,PersonX challenges PersonX's friend to a race
PersonX befriends PersonY's friend,PersonX challenges PersonY's friend
PersonX is meek around PersonY's friend,PersonX challenges PersonY's friend
PersonX challenges PersonY's friend to a duel.,PersonX challenges PersonY's friend to a race
PersonX gets challenged by PersonY's friend to a race,PersonX challenges PersonY's friend to a race
PersonX stays on the same track.,PersonX changes PersonX's direction
PersonX remains moving in the same direction,PersonX changes PersonX's direction
PersonX makes PersonY stagnate.,PersonX changes PersonY's lives
PersonX steals PersonY's phone.,PersonX charges PersonY's phone
PersonX gives up searching.,PersonX checks everywhere
PersonX checks in one place.,PersonX checks everywhere
PersonX forgets about PersonY,PersonX checks PersonY
Person X eats cake,PersonX chews the cud
PersonX drinks some water.,PersonX chews the cud
PersonX is a moral person,PersonX chokes the chicken
PersonX has sex,PersonX chokes the chicken
PersonX is paralyzed with indecision,PersonX chooses among alternatives
PersonX picks three options,PersonX chooses one
PersonX chooses none,PersonX chooses one
PersonX pushes PersonY away.,PersonX claps PersonY on the shoulder
PersonX makes a mess in PersonX's bedroom,PersonX cleans PersonX's bedroom
PersonX leaves their bedroom dirty,PersonX cleans PersonX's bedroom
PersonX destroys PersonY's bedroom.,PersonX cleans PersonY's bedroom
PersonX makes PersonY's bedroom very messy.,PersonX cleans PersonY's bedroom
PersonX throws dirt on PersonY’s clock.,PersonX cleans PersonY's clock
PersonX gets PersonY's clock dirty,PersonX cleans PersonY's clock
PersonX closes that day,PersonX closes that day
PersonX opens that day.,PersonX closes that day
PersonX stays away from PersonY,PersonX comes and see PersonY
PersonX goes in the opposite direction of Person Y.,PersonX comes and see PersonY
PersonX fades away.,PersonX comes into being
PersonX copies another person's ways,PersonX comes into PersonX's own
PersonX comes in the condom.,PersonX comes into PersonY's eyes
PersonX is behind PersonY.,PersonX comes into PersonY's eyes
PersonX leaves PersonY behind.,PersonX comes looking for PersonY
PersonX knows where PersonY is,PersonX comes looking for PersonY
PersonX is still youg,PersonX comes of age
PersonX is still immature,PersonX comes of age
PersonX stays in the dark,PersonX comes to light
PersonY comes to PersonX's house,PersonX comes to PersonY house
PersonX leaves PersonY's house,PersonX comes to PersonY house
PersonX hides from sight of PersonY,PersonX comes to PersonY's eyes
Person X leaves PersonY's home.,PersonX comes to PersonY's house
PersonX meets PersonY at a restaurant.,PersonX comes to PersonY's house
PersonX runs away from PersonY,PersonX comes to see PersonY
PersonX leaves with PersonY,PersonX comes with PersonY
PersonX leaves with PersonY.,PersonX comes with PersonY
PersonX is still in school.,PersonX completes PersonX's studies
PersonX neglects to do PersonX's studies,PersonX completes PersonX's studies
PersonX makes fun of PersonY.,PersonX compliments PersonY
PersonY compliments PersonX,PersonX compliments PersonY
PersonX is a famous actor.,PersonX conceals PersonX's identity
PersonX reveals PersonX's identity,PersonX conceals PersonX's identity
PersonX reveals PersonY's identity,PersonX conceals PersonY's identity
PersonX Reveals PersonY's passwords,PersonX conceals PersonY's identity
PersonX sends PersonY's results off to a lab,PersonX conducts PersonY analysis
PersonX cancels PersonY analysis,PersonX conducts PersonY analysis
PersonX gives PersonY's case to someone older,PersonX conducts PersonY investigation
PersonX drops PersonY investigation,PersonX conducts PersonY investigation
PersonX ignores PersonX's roommate,PersonX confronts PersonX's roommate
PersonX welcomes PersonX's roommate,PersonX confronts PersonX's roommate
PersonX confronts PersonY about nothing,PersonX confronts PersonY about it
PersonX is asked by PersonY about it,PersonX confronts PersonY about it
PersonX stays silent to PersonY's roommate,PersonX confronts PersonY's roommate
PersonX diversifies PersonX's position,PersonX consolidates PersonX's position
personx bails out,PersonX consolidates PersonX's position
PersonX lost PersonY's number,PersonX contains PersonY number
PersonX dismisses PersonY's journey,PersonX continues PersonY's journey
PersonX ignores PersonY impression,PersonX conveys PersonY impression
PersonX alienates personx's parents,PersonX convinces PersonX's parents
PersonX cooks salad,PersonX cooks spaghetti
PersonX cooks cakes,PersonX cooks spaghetti
PersonX and PersonY are surrounded by fire.,PersonX cools PersonY off
PersonX heats up PersonY,PersonX cools PersonY off
PersonX sells the earth,PersonX costs the earth
PersonX costs nothing,PersonX costs the earth
PersonX skips over lots of content,PersonX covers every aspect
PersonX reveals PersonX's head,PersonX covers PersonX's head
PersonX covers PersonX's gifts,PersonX covers PersonX's nakedness
PersonX is naked,PersonX covers PersonX's nakedness
PersonX opens PersonY's mouth.,PersonX covers PersonY's mouth
PersonX covers PersonY's eyes,PersonX covers PersonY's mouth
PersonX puts the egg in whole,PersonX cracks the eggs
PersonX puts the eggs in the fridge.,PersonX cracks the eggs
PersonX watches their speed limit,PersonX crashes into another car
PersonX destroys PersonY structure,PersonX creates PersonY structure
PersonX destroys PersonY structure.,PersonX creates PersonY structure
PersonX laughs uproariously,PersonX cries tears of joy
PersonX laughs tears of joy,PersonX cries tears of joy
PersonX continues to fight back,PersonX cries uncle
PersonX praises PersonY,PersonX criticizes PersonY
PersonX praises PersonY.,PersonX criticizes PersonY
PersonX stays on one side of the street,PersonX crosses the road
PersonX crosses the lake,PersonX crosses the road
PersonX straightens PersonX's hair,PersonX curls PersonX's hair
PersonX leaves PersonX's hair straight.,PersonX curls PersonX's hair
PersonX straightens PersonY's hair,PersonX curls PersonY's hair
Person X curls person Y's toe,PersonX curls PersonY's hair
PersonX uses the whole bait.,PersonX cuts bait
PersonX  puts bait,PersonX cuts bait
PersonX is careful with knives.,PersonX cuts PersonX's leg
PersonX wears long pants to protect PersonX,PersonX cuts PersonX's leg
PersonX heals PersonY's leg,PersonX cuts PersonY's leg
Person x cuts PersonY's food.,PersonX cuts PersonY's leg
PersonX makes swathes,PersonX cuts swathes
personx cuts bacon,PersonX cuts swathes
PersonX lies constantly,PersonX cuts the crap
PersonX keeps being a jerk,PersonX cuts the crap
PersonX leaves the umbilical cord attached.,PersonX cuts the umbilical cord
PersonX sews up the umbilical cord.,PersonX cuts the umbilical cord
PersonX goes to sleep at night,PersonX dances all night
PersonX sits all night,PersonX dances all night
PersonX hates to dance,PersonX dances the night away
PersonX walks the night away,PersonX dances the night away
PersonX dates a boy,PersonX dates a girl
PersonX stays single for years,PersonX dates for years
PersonX is dark towards PersonY.,PersonX dawns upon PersonY
PersonY forgets all about PersonX,PersonX dawns upon PersonY
PersonX decides to leave,PersonX decides to enter
PersonX goes to a restaurant to eat.,PersonX decides to have a picnic
PersonX decides to eat at home,PersonX decides to have a picnic
PersonX ignores the situation.,PersonX decides to investigate
PersonX decides to ignore the situation,PersonX decides to investigate
PersonX makes dinner at home,PersonX decides to order a pizza
PersonX decides to make a salad.,PersonX decides to order a pizza
PersonX bakes their own pizza.,PersonX decides to order pizza
PersonX decides to cook at home,PersonX decides to order pizza
PersonX decides to order a salad instead,PersonX decides to order pizza instead
PersonX decides to make a home-cooked meal,PersonX decides to order pizza instead
PersonX decides to sell it,PersonX decides to purchase it
PersonX puts it back on the store shelf,PersonX decides to purchase it
Personx decides to burn a book,PersonX decides to read a book
PersonX decides to watch a movie,PersonX decides to read a book
PersonX accepts the offer,PersonX declines the offer
PersonX in a different district than PersonY's address.,PersonX delivers PersonY address
PersonX steals PersonY address,PersonX delivers PersonY address
PersonY demands PersonX's attention,PersonX demands PersonY's attention
PersonX knows PersonY.,PersonX denies PersonY's existence
PersonX acknowledges PersonY's existence,PersonX denies PersonY's existence
PersonX ignores PersonX's name.,PersonX derives PersonX's name
PersonX has a unique name,PersonX derives PersonY's name
PersonX forgets PersonY's name.,PersonX derives PersonY's name
PersonX clams up.,PersonX describes PersonX's experience
PersonX keeps PersonX's experience a secret.,PersonX describes PersonX's experience
PersonX misses details on PersonY's experience,PersonX describes PersonY's experience
PersonY describes PersonX's experience,PersonX describes PersonY's experience
PersonX needed nothing.,PersonX desperately needed
PersonX develops as they go,PersonX develops along lines
PersonX develops freely,PersonX develops along lines
PersonX is cancer free,PersonX develops cancer
PersonX heals from cancer,PersonX develops cancer
Personx is anonymous on the web,PersonX develops web presence
PersonX has horrible web presence.,PersonX develops web presence
PersonX recovers from the flu,PersonX diagnoses with the flu
PersonX is completely healthy,PersonX diagnoses with the flu
PersonX escapes the vine with their life,PersonX dies on the vine
Person lives on the vine.,PersonX dies on the vine
PersonX dies a horrible death.,PersonX dies peacefully
PersonX dies in a crash.,PersonX dies peacefully
PersonX allows PersonY to wander.,PersonX directs PersonY
PeronX ignores PersonY,PersonX directs PersonY's attention
PersonX diverts PersonY's attention,PersonX directs PersonY's attention
PersonX gives PersonY a push.,PersonX directs PersonY's steps
PersonX directs PersonY's movie,PersonX directs PersonY's steps
PersonX stays out of PersonY's business,PersonX discovers in PersonY's bed
PersonY's bed is bug free.,PersonX discovers in PersonY's bed
PersonX decides to keep PersonX's property,PersonX disposes of PersonX's property
PersonX buy more property,PersonX disposes of PersonX's property
PersonX gathers notes from PersonY.,PersonX distributes among PersonY
PersonX distributes forms with permission.,PersonX distributes in forms without permission
PersonX gets permission.,PersonX distributes in forms without permission
PersonX brings groups together,PersonX divides PersonY into groups
PersonX assigns PersonY into groups,PersonX divides PersonY into groups
PersonX stays together with PersonX's spouse,PersonX divorces PersonX's husband
Person x remarries her former husband,PersonX divorces PersonX's husband
PersonX does a terrible job.,PersonX does a wonderful job
PersonX makes a mess of things,PersonX does a wonderful job
PersonX messes everything up,PersonX does an amazing job
PersonX is likable to everyone.,PersonX does n't get along
PersonX is cooperative.,PersonX does n't get along
PersonX is wealthy.,PersonX does n't have a lot of money
PersonX has all the money.,PersonX does n't have a lot of money
PersonX has a large network.,PersonX does n't have many friends
PersonX is king of the world,PersonX does n't have many friends
PersonX knows what to expect,PersonX does n't know what to expect
PersonX is picked for the team.,PersonX does n't make the cut
PersonX makes the cut,PersonX does n't make the cut
PersonX starts an argument.,PersonX does n't want to fight
PersonX want's to fight.,PersonX does n't want to fight
PersonX goes through it quickly,PersonX does n't want to waste it
PersonX has a lot of money,PersonX does not have a lot of money
PersonX is a billionaire.,PersonX does not have a lot of money
PersonX does a normal job,PersonX does odd jobs
PersonX does PersonX's worst,PersonX does PersonX's best
PersonX lets the yard go to pot,PersonX does some yard work
PersonX cuts corners,PersonX does the best PersonY could
PersonX does very bad in school,PersonX does very well in school
PersonX does very bad in school.,PersonX does very well in school
PersonX flunks out of school.,PersonX does well in school
PersonX cleans the house.,PersonX does yard work
PersonX lounges on the couch,PersonX does yard work
PersonX donates a foot,PersonX donates plasma
PersonX donates red blood cells.,PersonX donates plasma
PersonX goes by themselves,PersonX drags PersonY along
PersonX leaves PersonY behind,PersonX drags PersonY along
PersonX drags through water,PersonX drags through the mud
