neg_event,event
PersonX teaches the lesson to the students,PersonX asks the students
PersonX ignores the waiter.,PersonX asks the waiter
PersonX asks the man,PersonX asks the woman
PersonX ignores the worker,PersonX asks the worker
PersonX answers Tom,PersonX asks tom
PersonX ignores PersonY.,PersonX assists PersonY
PersonX associates with PersonY decrease,PersonX associates with PersonY increase
PersonX sabotages PersonY role,PersonX assumes PersonY role
PersonX welcomes PersonY,PersonX attacks PersonY
PersonX skips all of PersonX's meetings,PersonX attends PersonX's meetings
PersonX skips PersonY meeting,PersonX attends PersonY meeting
PersonX stays at home.,PersonX attends PersonY's funeral
PersonX leaves a wine tasting,PersonX attends a wine tasting
PersonX missed the concert,PersonX attends the concert
PersonX stays home.,PersonX attends the event
PersonX  misses the party,PersonX attends the party
PersonX hides from PersonY's sight,PersonX attracts PersonY attention
PersonX kills PersonY,PersonX avenges PersonY's death
Personx Emulates Person Y's appearance,PersonX avoids PersonY appearance
PersonX calls PersonY,PersonX avoids PersonY contact
PersonX leaves PersonY alone,PersonX awakes PersonY
PersonX punishes PersonY,PersonX awards PersonY
PersonX drives PersonY's car forward,PersonX backs PersonY's car
PersonX greeted PersonY hello,PersonX bade PersonY farewell
PersonX baits PersonY's line,PersonX baits PersonY's hook
PersonX eats a cake.,PersonX bakes a cake
PersonX forgot PersonY's special day.,PersonX bakes a cake for PersonY
PersonX bakes a cake.,PersonX bakes a pie
PersonX takes cookies from PersonY,PersonX bakes cookies for PersonY
PersonX made it with time to spare,PersonX barely made it
PersonX whispers to PersonY.,PersonX barks at PersonY
PersonX lets PersonY get by.,PersonX bars PersonY's way
Person X gets person Y dirty,PersonX baths PersonX
PersonX bats for the same team,PersonX bats for the other team
PersonX leaves PersonY alone.,PersonX bears PersonY away
PersonX adopted PersonY's children,PersonX bears PersonY children
PersonX gives PersonX's friend aid.,PersonX beats PersonX's friend
Person X help PersonY up,PersonX beats PersonY up
PersonX stays calm,PersonX beats PersonY's brains out
PersonY's brother defeats PersonX.,PersonX beats PersonY's brother
PersonX beats PersonY's an enemy.,PersonX beats PersonY's friend
PersonX ties with PersonY.,PersonX beats PersonY's personal record
PersonX beats the mugger.,PersonX beats the bishop
PersonX attacks PersonY,PersonX beckons PersonY
PersonX becomes PersonY's rival.,PersonX becomes PersonY friend
PersonX becomes noone.,PersonX becomes PersonY's president
PersonX becomes a hall monitor,PersonX becomes a lifeguard
PersonX becomes the person in the street.,PersonX becomes a writer
PersonX gives up their acting dream,PersonX becomes an actor
PersonX becomes worst enemies,PersonX becomes best friends
PersonX gets worse,PersonX becomes better
PersonX becomes enemy with PersonY,PersonX becomes friends with PersonY
PersonX is made uncomfortable,PersonX becomes more comfortable
PersonX becomes more diffident,PersonX becomes more confident
PersonX has an abortion.,PersonX becomes pregnant
PersonX becomes dog catcher,PersonX becomes president
PersonX becomes distants,PersonX becomes roommates
PersonX became exhilarated,PersonX becomes very depressed
PersonX got worse and worse,PersonX becomes very good
PersonX is happy,PersonX becomes very upset
PersonX quits their job.,PersonX begins PersonX's career
PersonX finishes PersonY's work,PersonX begins PersonY work
PersonX smiles.,PersonX begins to cry
PersonX begins to cry,PersonX begins to laugh
PersonX begins to fall asleep,PersonX begins to speak
PersonX tells PersonY to stay away,PersonX begs PersonY to come
PersonX  forgives PersonY freely,PersonX begs PersonY's forgiveness
PersonX fights PersonY's mom,PersonX begs PersonY's mom
PersonX did their own thing,PersonX begs and begged
PersonX begs for cigarettes.,PersonX begs for money
PersonX behaves in PersonY manner differently,PersonX behaves in PersonY manner
PersonX mistrusts PersonY's eyes,PersonX believes PersonY's eyes
PersonX compliments PersonY.,PersonX berates PersonY
PersonX greets PersonY,PersonX bids PersonY farewell
PersonX kisses PersonY,PersonX bites PersonY
PersonX kisses PersonY's finger.,PersonX bites PersonY's finger
PersonX bites PersonX's tongue,PersonX bites PersonY's tongue
PersonX condemns  PersonY soul,PersonX blesses PersonY soul
PersonX covers PersonY's identity,PersonX blows PersonY's cover
They fix the engine,PersonX blows PersonY's engine
PersonX sucks on PersonY's nose,PersonX blows PersonY's nose
PersonX gives the middle finger,PersonX blows a kiss
PersonX boards PersonX's  car.,PersonX boards PersonX's plane
PersonX departs PersonY's plane,PersonX boards PersonY's plane
PersonX boards the boat,PersonX boards the train
PersonX cancelled PersonX's trip,PersonX books PersonX's trip
PersonX books PersonY's stay,PersonX books PersonY's trip
PersonX cheers PersonY on the stage,PersonX boos PersonY off the stage
Personx has a daughter with PersonY.,PersonX bores PersonY a son
PersonX stole a boke,PersonX borrows a book
PersonX lends some money.,PersonX borrows some money
PersonX lends the money,PersonX borrows the money
PersonX comforts PersonY,PersonX bothers PersonY
PersonX massages PersonY's ears,PersonX boxes PersonY's ears
PersonX apologizes to all PersonX's friends.,PersonX brags to all PersonX's friends
personx straightens personx's hair,PersonX braids PersonX's hair
PersonX fixes PersonX's lance,PersonX breaks PersonX's lance
PersonX is very careful with PersonX's mother vase,PersonX breaks PersonX's mother's favorite vase
PersonX breaks PersonY's neck,PersonX breaks PersonY arm
PersonX misses the attempt at breaking PersonY's fall.,PersonX breaks PersonY's fall
PersonX bandages PersonY's foot.,PersonX breaks PersonY's foot
PersonX breaks PersonY's arm.,PersonX breaks PersonY's glasses
PersonX breaks PersonY's nail,PersonX breaks PersonY's hand
PersonX heals PersonY's leg,PersonX breaks PersonY's leg
PersonX makes PersonY's pottery as a gift,PersonX breaks PersonY's mother's favorite vase
PersonY neck recovered from PersonX attack,PersonX breaks PersonY's neck
PersonX kisses PersonY's cheek.,PersonX breaks PersonY's nose
PersonX repairs PersonY's phone,PersonX breaks PersonY's phone
PersonX breaks both of PersonY's hands,PersonX breaks both of PersonY's legs
PersonX breaks my leg,PersonX breaks my arm
PersonX operates on my leg,PersonX breaks my leg
PersonX gets together with PersonY's boyfriend,PersonX breaks up with PersonY's boyfriend
PersonX is dating PersonY's girlfriend,PersonX breaks up with PersonY's girlfriend
PersonX breastfeeds someone else's baby.,PersonX breastfeeds PersonX's baby
PersonX gives PersonY space,PersonX breathes down PersonY's neck
PersonX steals from PersonY,PersonX bribes PersonY
PersonX bribes PersonY with diamonds.,PersonX bribes PersonY with candy
Person X narrows the distance between Person X and Person Y,PersonX bridges the gap between PersonY and PersonY
PersonX comes alone.,PersonX brings PersonX's daughter
PersonX kills PersonX's family,PersonX brings PersonX's family
They bring their daughter,PersonX brings PersonX's son
PersonX takes PersonY's spare key away.,PersonX brings PersonY a spare key
PersonX keeps PersonY far away.,PersonX brings PersonY close
PersonX pushes PersonY away.,PersonX brings PersonY closer
PersonX steals the spotlight.,PersonX brings PersonY fame
PersonX leaves PersonY behind,PersonX brings PersonY home
PersonX leaves PersonY outside.,PersonX brings PersonY inside
PersonX pulls PersonY out of line.,PersonX brings PersonY into line
PersonX asks PersonY about the news,PersonX brings PersonY news
PersonX takes something from PersonY,PersonX brings PersonY something
PersonX misinforms PersonY about a news event,PersonX brings PersonY the news
PersonX brings PersonY to jail,PersonX brings PersonY to school
PersonX makes PersonY smile,PersonX brings PersonY to tears
PersonX brings PersonY to the playground,PersonX brings PersonY to the doctor
PersonX brings PersonY to the morgue,PersonX brings PersonY to the hospital
PersonX drops charges against PersonY.,PersonX brings PersonY to trial
PersonX eats food from PersonY's plate,PersonX brings PersonY's food
Personx leaves persony at the party.,PersonX brings PersonY's home
Person X eats PersonY's dinner.,PersonX brings PersonY's lunch
PersonX takes PersonY's son,PersonX brings PersonY's son
PersonX takes a dish,PersonX brings a dish
PersonX kills children,PersonX brings children into the world
PersonX takes gifts,PersonX brings gifts
PersonX waits for the bacon to come home,PersonX brings home the bacon
PersonX chases   PersonY,PersonX brings it to PersonY
PersonX snatches it away from PersonY,PersonX brings it to PersonY's lips
PersonX takes something away,PersonX brings something
PersonX brings the dog food,PersonX brings the cake
PersonX leaves the dog at home,PersonX brings the dog
PersonX leads the charge.,PersonX brings up the rear
PersonX only has one.,PersonX browses PersonX's collection
PersonX destroys PersonY's collection,PersonX browses PersonY's collection
PersonX brushes PersonX's teeth,PersonX brushes PersonY teeth
PersonX brushes PersonY's hair,PersonX brushes PersonY's hand
PersonX feeds candy.,PersonX brushes my teeth
Person X demolishes Person Y's house,PersonX builds PersonY a house
PersonX destroys PersonY's house.,PersonX builds PersonY house
PersonX blows up PersonY's house.,PersonX builds PersonY's house
PersonX tears down PersonY's nest.,PersonX builds PersonY's nest
PersonX builds a worse mousetrap,PersonX builds a better mousetrap
PersonX builds a telescope.,PersonX builds a fence
PersonX builds a small snowman.,PersonX builds a giant snowman
PersonX builds a skyscraper.,PersonX builds a snowman
PersonX loves PersonY,PersonX bullies PersonY
PersonX cremates PersonX's dead,PersonX buries PersonX's dead
PersonX raises PersonY's head up,PersonX buries PersonY's head
PersonX heals PersonY.,PersonX burns PersonY
PersonX heals PersonY's hand,PersonX burns PersonY's hand
PersonX cooks a perfect turkey.,PersonX burns the turkey
PersonX surprises PersonY's,PersonX bursts PersonY's bubble
PersonX hides emotion,PersonX bursts into tears
PersonX is dusty,PersonX busts the dust
PersonX sells PersonX's first house,PersonX buys PersonX's first house
PersonX loses a friend,PersonX buys PersonX's friend
PersonX sells PersonX's old shoes.,PersonX buys PersonX's own shoes
PersonX buys a product.,PersonX buys PersonY
PersonX buys PersonY a meal,PersonX buys PersonY a drink
PersonX buys PersonY a new pot,PersonX buys PersonY a new bike
PersonX sells PersonY's new one,PersonX buys PersonY a new one
PersonX is cheap,PersonX buys PersonY drinks
PersonX steals shoes from PersonY,PersonX buys PersonY new shoes
PersonX sells PersonY's daughter,PersonX buys PersonY's daughter
PersonX sells PersonY's groceries,PersonX buys PersonY's groceries
PersonX takes person Y's lunch,PersonX buys PersonY's lunch
PersonX buys their own shoes,PersonX buys PersonY's own shoes
PersonX buys PersonY's car.,PersonX buys PersonY's phone
PersonX sells PersonY’s son.,PersonX buys PersonY's son
PersonX takes PersonY's supplies,PersonX buys PersonY's supplies
PersonX declines PersonY's ticket,PersonX buys PersonY's ticket
PersonX sells PersonY's tickets,PersonX buys PersonY's tickets
PersonX  throws out leftover cake.,PersonX buys a birthday cake
PersonX steals a boat.,PersonX buys a boat
PersonX buys a computer,PersonX buys a cake
PersonX buys a menorah.,PersonX buys a christmas tree
PersonX sells a gift,PersonX buys a gift
PersonX saves their money.,PersonX buys a gift card
PersonX sells a metal detector,PersonX buys a metal detector
PersonX sells a car.,PersonX buys a new car
PersonX sells an old home.,PersonX buys a new home
PersonX sells a new mattress,PersonX buys a new mattress
PersonX buys a  microwave,PersonX buys a new microwave
PersonX sells their old sofa.,PersonX buys a new sofa
PersonX puts money into savings.,PersonX buys a new television
PersonX sells PersonY's boat.,PersonX buys a new toy
PersonX uses plan b the next morning,PersonX buys a pregnancy test
PersonX sells a ring,PersonX buys a ring
PersonX sells a suit.,PersonX buys a suit
PersonX returns a toy,PersonX buys a toy
PersonX sells another car,PersonX buys another car
PersonX is out of money,PersonX buys everything PersonY needed
PersonX buys candy.,PersonX buys flowers
PersonX makes a wish list,PersonX buys gifts
PersonX receives gifts from PersonY's family,PersonX buys gifts for PersonY's family
PersonX sells it to PersonY,PersonX buys it for PersonY
PersonX buys it next year,PersonX buys it immediately
PersonX buys my daughter,PersonX buys my son
PersonX buys their ticket.,PersonX buys my ticket
PersonX get's rid of their old furnature.,PersonX buys new furniture
PersonX buys water instead.,PersonX buys some candy
PersonX sells some new clothes,PersonX buys some new clothes
PersonX sells some stock,PersonX buys some stock
PersonX sells the ring,PersonX buys the ring
PersonX buys the pants,PersonX buys the shirt
PersonX shops for swimsuits for PersonY,PersonX buys the shoes PersonY wanted
PersonX hates buying things,PersonX buys the supplies
PersonX calls PersonX's hospital,PersonX calls PersonX's bank
PersonX calls PersonX's sister,PersonX calls PersonX's brother
PersonX ignores PersonX's dog,PersonX calls PersonX's dog
PersonX calls their mom,PersonX calls PersonX's father
PersonX asked PersonX's friends to go home,PersonX calls PersonX's friends over
PersonX calls PersonX's boyfriend.,PersonX calls PersonX's girlfriend
PersonX calls PersonX's wife,PersonX calls PersonX's husband
PersonX pays for the costs out of pocket.,PersonX calls PersonX's insurance company
PersonX answers PersonX's kids call.,PersonX calls PersonX's kids
PersonX leaves PersonX's neighbor alone.,PersonX calls PersonX's neighbor
PersonX emails PersonX's office,PersonX calls PersonX's office
PersonX calls PersonX's brother.,PersonX calls PersonX's sister
PersonX calls PersonX's dad.,PersonX calls PersonX's wife
PersonX ignores the call from PersonY,PersonX calls PersonY back
PersonX calls PersonY by their name,PersonX calls PersonY by PersonZ name
PersonX remembers PersonY's name,PersonX calls PersonY by PersonZ's name
PersonX calls PersonY's mother.,PersonX calls PersonY father
PersonX hates PersonY.,PersonX calls PersonY friend
PersonX fires PersonY over the phone,PersonX calls PersonY into the office
PersonX forgets to call PersonY back.,PersonX calls PersonY later
PersonY's mother calls PersonX.,PersonX calls PersonY mother
PersonX whistles at PersonY.,PersonX calls PersonY name
PersonX praises PersonY.,PersonX calls PersonY names
PersonX calls PersonY to gossip about PersonZ.,PersonX calls PersonY to tell PersonZ
PersonX sends PersonY an email today.,PersonX calls PersonY today
PersonX forgets to call PersonY,PersonX calls PersonY tomorrow
PersonX calls PersonY today,PersonX calls PersonY tonight
PersonX ignored PersonY's call,PersonX calls PersonY's back
PersonX gets a call from PersonY's boyfriend,PersonX calls PersonY's boyfriend
PersonX calls PersonY's mother,PersonX calls PersonY's dad
PersonX calls a friend,PersonX calls PersonY's daughter
PersonX ignores PersonY's family,PersonX calls PersonY's family
PersonX keeps a wide berth from PersonY's father,PersonX calls PersonY's father
PersonX hangs up,PersonX calls PersonY's friend
PersonX text PersonY's friends,PersonX calls PersonY's friends
PersonX calls PersonY's Mother.,PersonX calls PersonY's girlfriend
PersonX calls PersonY's boss.,PersonX calls PersonY's grandparents
PersonX is a banker,PersonX calls PersonY's insurance company
PersonX call PersonY's boss,PersonX calls PersonY's kids
PersonX calls PersonY's dad,PersonX calls PersonY's mom
PersonX sends a letter to PersonY's mom,PersonX calls PersonY's mom
PersonX calls PersonY's home.,PersonX calls PersonY's office
PersonX's phone was dead,PersonX calls PersonY's sister
PersonX ignores PersonY's wife,PersonX calls PersonY's wife
PersonX walks to their destination,PersonX calls a cab
PersonX calls a minister,PersonX calls a friend
PersonX picks the lock,PersonX calls a locksmith
PersonX fixes the toilet on his own,PersonX calls a plumber
PersonX drives himself home,PersonX calls a taxi
PersonX calls all of PErsonX's enemies,PersonX calls all PersonX's friends
PersonX calls all PersonY's enemies,PersonX calls all PersonY's friends
PersonX texts animal control,PersonX calls animal control
PersonX forgets PersonY's name,PersonX calls by PersonY's name
personx receives a call from customer service,PersonX calls customer service
PersonX gets a call from home,PersonX calls home
PersonX whispers my name,PersonX calls my name
PersonX skips over PersonY,PersonX calls on PersonY
PersonX whispers PersonY's name.,PersonX calls out PersonY's name
Person X puts their phone on mute and in Airplane mode.,PersonX calls security
PersonX sends a letter to someone,PersonX calls someone
PersonX forgot to call the bank,PersonX calls the bank
PersonX's cable works fine.,PersonX calls the cable guy
PersonX solves the problem themselves,PersonX calls the cops
They fix it themselves,PersonX calls the plumber
PersonX calls the doctor for help.,PersonX calls the police for help
PersonX is bossed around,PersonX calls the shots
PersonX emails the vet.,PersonX calls the vet
PersonX calls's dad,PersonX calls's mom
PersonX stays in a hotel.,PersonX camps with friends
PersonX walks very well.,PersonX can barely walk
PersonX can afford to fix it,PersonX can n't afford to fix it
PersonX is right next to PersonY,PersonX can not find PersonY
Common,PersonX cancels PersonX's date
PersonX schedules PersonY's trip,PersonX cancels PersonY's trip
PersonX cares for another's children.,PersonX cares for PersonX's children
PersonX caresses PersonY's feet,PersonX caresses PersonY's face
PersonX carries PersonY front,PersonX carries PersonY back
PersonX leaves PersonY where they are.,PersonX carries PersonY home
PersonX gives away PersonX's money,PersonX cashes PersonX's check
PersonX deposits PersonY's check,PersonX cashes PersonY's check
PersonX cashes out PersonX's chips,PersonX cashes in PersonX's chips
PersonX calls PersonY in advance.,PersonX catches PersonY by surprise
PersonX catches PersonY by the leg,PersonX catches PersonY by the arm
PersonX missed seeing PersonY with PersonX's hand in the cookie jar,PersonX catches PersonY with PersonX's hand in the cookie jar
PersonX releases a bird,PersonX catches a bird
PersonX throws it,PersonX catches it
PersonX catches lots of crab.,PersonX catches lots of fish
PersonX is always prepared.,PersonX catches off guard
PersonX throws the ball,PersonX catches the ball
PersonX gives PersonY a promotion.,PersonX causes PersonY to fall
PersonX helps PersonY a lot,PersonX causes PersonY trouble
PersonX saves person Y's life,PersonX causes PersonY's death
PersonX forgets PersonY's birthday,PersonX celebrates PersonY's birthday
PersonX celebrates PersonY's year,PersonX celebrates PersonY's day
PersonX laments Person Y's victory,PersonX celebrates PersonY's victory
PersonX protests Halloween,PersonX celebrates halloween
PersonX rues the passage of time,PersonX celebrates the new year
PersonX mourns with personY,PersonX celebrates with PersonY
PersonX plays fair with their friends,PersonX challenges PersonX's friends
PersonX relaxes PersonY,PersonX challenges PersonY
PersonX teams up with PersonY's brother.,PersonX challenges PersonY's brother
PersonX loves PersonY's friends.,PersonX challenges PersonY's friends
PersonX keeps PersonX's hair color the same.,PersonX changes PersonX's hair color
PersonX stays the same person.,PersonX changes PersonX's nature
PersonX delayed changing his schedule.,PersonX changes PersonX's schedule
PersonX has the same beliefs.,PersonX changes PersonX's views
Rare,PersonX changes PersonY life
They keep their name,PersonX changes PersonY name
PersonX keeps PersonY's attitude,PersonX changes PersonY's attitude
PersonX reinforces PersonY's attitude.,PersonX changes PersonY's attitudes
PersonX is a child,PersonX changes PersonY's diaper
PersonX changes PersonY's mind.,PersonX changes PersonY's diet
PersonX tears PersonY's dress,PersonX changes PersonY's dress
PersonY is recalcitrant.,PersonX changes PersonY's mind
PersonX changes PersonY's oil.,PersonX changes PersonY's tire
PersonX agrees with PersonY.,PersonX changes PersonY's views
PersonX asks PersonY to change PersonX's tire.,PersonX changes a tire
PersonX embraces PersonY gently.,PersonX charges PersonY
PersonX walks at PersonY,PersonX charges at PersonY
PersonX stays loyal,PersonX cheats on PersonY
PersonX neglects maintenance on their car.,PersonX checks PersonX's car
PersonX ignores PersonY's account,PersonX checks PersonY's account
PersonY blocks PersonX's access to PersonY's email.,PersonX checks PersonY's email
PersonX checks PersonY's text messages,PersonX checks PersonY's mailbox
PersonX ignores PersonY's phone.,PersonX checks PersonY's phone
PersonX ignores PersonY's temperature,PersonX checks PersonY's temperature
PersonX checks their own watch,PersonX checks PersonY's watch
PersonX rented a camper,PersonX checks into PersonY's hotel
PersonX is in a bad mood,PersonX cheers PersonY
PersonX jeers PersonY off,PersonX cheers PersonY on
PersonX berates PersonY,PersonX cheers PersonY up
PersonX boos PersonY,PersonX cheers for PersonY
PersonX shushes the crowd,PersonX cheers loudly
PersonX is very gentle toward PersonY.,PersonX chips PersonY's tooth
PersonX loses the lotto.,PersonX claims PersonX's prize
Person X doesn’t clap Person Y on his back,PersonX claps PersonY on the back
PersonX boos for PersonY,PersonX claps for PersonY
PersonX clasps PersonY's ponytail,PersonX clasps PersonY's hands
PersonY cleans themselves,PersonX cleans PersonY
PersonX spills food on PersonY,PersonX cleans PersonY up
PersonX poops in PersonY's toilet.,PersonX cleans PersonY's bathroom
PersonX dirties PersonY's cage,PersonX cleans PersonY's cage
PersonX is a slob and makes a mess in PersonY's car,PersonX cleans PersonY's car
PersonX dirties PersonY's house,PersonX cleans PersonY's house
PersonX plays video games,PersonX cleans PersonY's room
PersonX makes a mess in the basement.,PersonX cleans the basement
PersonX is lazy.,PersonX cleans the house
PersonX binges on drugs.,PersonX cleans up PersonX's act
PersonX carries PersonY,PersonX climbs on top of PersonY
PersonX facilitates PersonY's rise,PersonX clips PersonY's wings
PersonX opens the door for PersonY.,PersonX closes the door after PersonY
PersonX opens the door for PersonY,PersonX closes the door behind PersonY
PersonX jumps over PersonY.,PersonX collapses on top of PersonY
PersonX shaves PersonY's head.,PersonX combs PersonY hair
PersonX stays alone,PersonX comes back to PersonY
PersonX goes back to their room.,PersonX comes back to my room
PersonX flees from PersonY.,PersonX comes close to PersonY
PersonX comes from in front of PersonY,PersonX comes from behind PersonY
PersonX drops off PersonY.,PersonX comes get PersonY
PersonX laughs at PersonY's troubles,PersonX comes help PersonY
PersonX comes on to PersonY,PersonX comes home to PersonY
PersonX goes PersonYs,PersonX comes home with PersonY
PersonX pushes away PersonY,PersonX comes into PersonY's hands
PersonX lets Y alone,PersonX comes into force on PersonY
PersonX lives separately from PersonY.,PersonX comes live with PersonY
PersonX is grounded.,PersonX comes near PersonY
PersonX stays in PersonX's shell,PersonX comes out of PersonX's shell
PersonX goes under PersonY,PersonX comes over PersonY
Person x walks away from Person y,PersonX comes to PersonY
PersonX is ignored by PersonY,PersonX comes to PersonY decision
PersonY forgets about PersonX.,PersonX comes to PersonY mind
PersonX causes PersonY's demise.,PersonX comes to PersonY's rescue
PersonX forgets to leave the house,PersonX comes to get PersonY
PersonX comes to leave PersonY,PersonX comes to visit PersonY
PersonX goes away from PersonY,PersonX comes toward PersonY
PersonX comes up in front of PersonY.,PersonX comes up behind PersonY
PersonX stays outside all day.,PersonX comes within reach
PersonX commands PersonX's troops.,PersonX commands PersonY army
PersonX drops out of PersonX’s college.,PersonX completes PersonX's education
