neg_event,event,split,neg_cue,neg_cue_type
PersonX has a lack of a dream last night,PersonX has a dream last night,tst,a lack of,multi_word
PersonX has a lack of an amazing time,PersonX has an amazing time,tst,a lack of,
PersonX has a lack of a baby girl,PersonX has a baby girl,tst,a lack of,multi_word
PersonX has a lack of a test tomorrow,PersonX has a test tomorrow,tst,a lack of,multi_word
PersonX has a lack of a dinner party,PersonX has a dinner party,tst,a lack of,multi_word
PersonX has a lack of a new toy,PersonX has a new toy,tst,a lack of,multi_word
PersonX has a lack of a fit,PersonX has a fit,tst,a lack of,multi_word
PersonX has a lack of a laugh,PersonX has a laugh,tst,a lack of,multi_word
PersonX has little wonderful times,PersonX has a wonderful time,tst,little,single_word
PersonX has little anger problems,PersonX has anger problems,tst,little,single_word
PersonX has little bad feelings,PersonX has a bad feeling,tst,little,single_word
PersonX has little dinner parties,PersonX has a dinner party,tst,little,single_word
PersonX has little fun playing,PersonX has fun playing,tst,little,single_word
PersonX has little fear of heights,PersonX has a fear of heights,tst,little,single_word
PersonX has little friends,PersonX has many friends,tst,little,single_word
PersonX has little nice dinners,PersonX has a nice dinner,tst,little,single_word
PersonX has little trouble falling asleep,PersonX has trouble falling asleep,tst,little,single_word
PersonX has little amazing times,PersonX has an amazing time,tst,little,single_word
PersonX has little dreams last night,PersonX has a dream last night,tst,little,single_word
PersonX has little wonderful times on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,little,single_word
PersonX has little new toys,PersonX has a new toy,tst,little,single_word
PersonX has little money,PersonX has a lot of money,tst,little,single_word
PersonX has little laughs,PersonX has a laugh,tst,little,single_word
PersonX has little fit,PersonX has a fit,tst,little,single_word
PersonX has little fun,PersonX has tons of fun,tst,little,single_word
PersonX has little wonderful trips,PersonX has a wonderful trip,tst,little,single_word
PersonX has few wonderful times,PersonX has a wonderful time,tst,few,single_word
PersonX has few anger problems,PersonX has anger problems,tst,few,single_word
PersonX has few bad feelings,PersonX has a bad feeling,tst,few,single_word
PersonX has few dinner parties,PersonX has a dinner party,tst,few,single_word
PersonX has few friends,PersonX has many friends,tst,few,single_word
PersonX has few nice dinners,PersonX has a nice dinner,tst,few,single_word
PersonX has few amazing times,PersonX has an amazing time,tst,few,single_word
PersonX has few dreams last night,PersonX has a dream last night,tst,few,single_word
PersonX has few wonderful times on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,few,single_word
PersonX has few new toys,PersonX has a new toy,tst,few,single_word
PersonX has few laughs,PersonX has a laugh,tst,few,single_word
PersonX has few wonderful trips,PersonX has a wonderful trip,tst,few,single_word
PersonX has no wonderful times,PersonX has a wonderful time,tst,no,single_word
PersonX has no anger problems,PersonX has anger problems,tst,no,single_word
PersonX has no bad feelings,PersonX has a bad feeling,tst,no,single_word
PersonX has no dinner parties,PersonX has a dinner party,tst,no,single_word
PersonX has no fun playing,PersonX has fun playing,tst,no,single_word
PersonX has no fear of heights,PersonX has a fear of heights,tst,no,single_word
PersonX has no friends,PersonX has many friends,tst,no,single_word
PersonX has no nice dinners,PersonX has a nice dinner,tst,no,single_word
PersonX has no trouble falling asleep,PersonX has trouble falling asleep,tst,no,single_word
PersonX has no amazing times,PersonX has an amazing time,tst,no,single_word
PersonX has no dreams last night,PersonX has a dream last night,tst,no,single_word
PersonX has no wonderful times on PersonX's trip,PersonX has a wonderful time on PersonX's trip,tst,no,single_word
PersonX has no new toys,PersonX has a new toy,tst,no,single_word
PersonX has no money,PersonX has a lot of money,tst,no,single_word
PersonX has no laughs,PersonX has a laugh,tst,no,single_word
PersonX has no fit,PersonX has a fit,tst,no,single_word
PersonX has no fun,PersonX has tons of fun,tst,no,single_word
PersonX has no wonderful trips,PersonX has a wonderful trip,tst,no,single_word
PersonX camps in the absence of PersonX's family,PersonX camps with PersonX's family,tst,in the absence of,multi_word
PersonX skateboards in the absence of PersonX's friends,PersonX skateboards with PersonX's friends,tst,in the absence of,multi_word
PersonX is at the bar in the absence of friends,PersonX is at the bar with friends,tst,in the absence of,multi_word
PersonX studies in the absence of PersonY,PersonX studies with PersonY,tst,in the absence of,multi_word
PersonX camps in the absence of PersonY's family,PersonX camps with PersonY's family,tst,in the absence of,multi_word
PersonX camps without PersonY's family,PersonX camps with PersonY's family,tst,without,single_word
PersonX watches one without PersonY,PersonX watches one with PersonY,tst,without,single_word
PersonX sits without PersonY at lunch,PersonX sits with PersonY at lunch,tst,without,single_word
PersonX wants to play without PersonY,PersonX wants to play with PersonY,tst,without,single_word
PersonX camps without PersonX's family,PersonX camps with PersonX's family,tst,without,single_word
PersonX studies without PersonY,PersonX studies with PersonY,tst,without,single_word
PersonX is at the bar without friends,PersonX is at the bar with friends,tst,without,single_word
PersonX skateboards without PersonX's friends,PersonX skateboards with PersonX's friends,tst,without,single_word
PersonX looks unlike PersonY,PersonX looks like PersonY,tst,unlike,affixes_adj
PersonX earns less money,PersonX earns more money,tst,less,affixes_adj
PersonX stays unclean,PersonX stays clean,tst,unclean,affixes_adj
PersonX looks unlike,PersonX looks like,tst,unlike,affixes_adj
PersonX looks unlike new,PersonX looks like new,tst,unlike,affixes_adj
PersonX is unready to go home,PersonX is ready to go home,tst,unready,affixes_adj
PersonX is unable to fix it,PersonX is able to fix it,tst,unable,affixes_adj
PersonX looks unlike a fool,PersonX looks like a fool,tst,unlike,affixes_adj
PersonX makes an imperfect score,PersonX makes a perfect score,tst,imperfect,affixes_adj
PersonX feels unashamed,PersonX feels ashamed,tst,unashamed,affixes_adj
PersonX starts with a unclean sheet,PersonX starts with a clean sheet,tst,unclean,affixes_adj
PersonX is unready to go,PersonX is ready to go,tst,unready,affixes_adj
PersonX loves PersonY less than anything,PersonX loves PersonY more than anything,tst,less,affixes_adj
PersonX is rather unexcited,PersonX is rather excited,tst,unexcited,affixes_adj
PersonX is pretty unhappy,PersonX is pretty happy,tst,unhappy,affixes_adj
PersonX becomes very unhappy,PersonX becomes very happy,tst,unhappy,affixes_adj
PersonX seems imperfect,PersonX seems perfect,tst,imperfect,affixes_adj
PersonX feels unlucky,PersonX feels lucky,tst,unlucky,affixes_adj
PersonX is unangry with PersonY,PersonX is angry with PersonY,tst,unangry,affixes_adj
PersonX looks unlike crap,PersonX looks like crap,tst,unlike,affixes_adj
PersonX looks unlike men,PersonX looks like men,tst,unlike,affixes_adj
PersonX is unexcited and nervous,PersonX is excited and nervous,tst,unexcited,affixes_adj
PersonX has an unimportant job interview,PersonX has an important job interview,tst,unimportant,affixes_adj
PersonX looks unlike hell,PersonX looks like hell,tst,unlike,affixes_adj
PersonX looks unlike figure,PersonX looks like figure,tst,unlike,affixes_adj
PersonX is unable to sleep,PersonX is able to sleep,tst,unable,affixes_adj
PersonX looks unlike a woman,PersonX looks like a woman,tst,unlike,affixes_adj
PersonX looks unlike a tourist,PersonX looks like a tourist,tst,unlike,affixes_adj
PersonX gets unpublished,PersonX gets published,tst,unpublished,affixes_adj
PersonX looks unangry,PersonX looks angry,tst,unangry,affixes_adj
PersonX makes imperfect,PersonX makes perfect,tst,imperfect,affixes_adj
PersonX becomes unhappy,PersonX becomes happy,tst,unhappy,affixes_adj
PersonX is still unangry,PersonX is still angry,tst,unangry,affixes_adj
PersonX finds what PersonY unwanted,PersonX finds what PersonY wanted,tst,unwanted,affixes_adj
PersonX gets less exercise,PersonX gets more exercise,tst,less,affixes_adj
PersonX is finally nonpregnant,PersonX is finally pregnant,tst,nonpregnant,affixes_adj
PersonX is unable to find it,PersonX is able to find it,tst,unable,affixes_adj
PersonX dislikes to fish,PersonX likes to fish,tst,dislike,affixes_verb
PersonX dislikes the movie,PersonX likes the movie,tst,dislike,affixes_verb
PersonX dislikes fish,PersonX likes fish,tst,dislike,affixes_verb
PersonX discontinues driving,PersonX continues driving,tst,discontinue,affixes_verb
PersonX uncovers every aspect,PersonX covers every aspect,tst,uncover,affixes_verb
PersonX unfits PersonX's needs,PersonX fits PersonX's needs,tst,unfit,affixes_verb
PersonX dislikes a girl,PersonX likes a girl,tst,dislike,affixes_verb
PersonX dislikes hiking,PersonX likes hiking,tst,dislike,affixes_verb
PersonX dislikes to travel,PersonX likes to travel,tst,dislike,affixes_verb
PersonX dislikes cheese,PersonX likes cheese,tst,dislike,affixes_verb
PersonX uncurls PersonY's hair,PersonX curls PersonY's hair,tst,uncurl,affixes_verb
PersonX uncurls PersonX's hair,PersonX curls PersonX's hair,tst,uncurl,affixes_verb
PersonX unpacks PersonY's bags,PersonX packs PersonY's bags,tst,unpack,affixes_verb
PersonX uncovers PersonY's mouth,PersonX covers PersonY's mouth,tst,uncover,affixes_verb
PersonX disjoins the swim team,PersonX joins the swim team,tst,disjoin,affixes_verb
PersonX disagrees on anything,PersonX agrees on anything,tst,disagree,affixes_verb
PersonX unlearns french,PersonX learns french,tst,unlearn,affixes_verb
PersonX avoids putting PersonX's mind to it,PersonX puts PersonX's mind to it,tst,avoid,verb
PersonX avoids putting it all together,PersonX puts it all together,tst,avoid,verb
PersonX avoids hosting a party,PersonX hosts a party,tst,avoid,verb
PersonX avoids taking the stage,PersonX takes the stage,tst,avoid,verb
PersonX avoids dying PersonY's hair,PersonX dyes PersonY's hair,tst,avoid,verb
PersonX avoids opening the lid,PersonX opens the lid,tst,avoid,verb
PersonX avoids piercing PersonX's ears,PersonX pierces PersonX's ears,tst,avoid,verb
PersonX avoids coming to see PersonY,PersonX comes to see PersonY,tst,avoid,verb
PersonX avoids putting PersonY in mind,PersonX puts PersonY in mind,tst,avoid,verb
PersonX avoids shutting the door,PersonX shuts the door,tst,avoid,verb
PersonX avoids waiting all day,PersonX waits all day,tst,avoid,verb
PersonX avoids making the cookies,PersonX makes the cookies,tst,avoid,verb
PersonX avoids putting bread in the toaster,PersonX puts bread in the toaster,tst,avoid,verb
PersonX avoids leading PersonY,PersonX leads PersonY,tst,avoid,verb
PersonX avoids working as a waitress,PersonX works as a waitress,tst,avoid,verb
PersonX avoids knowing PersonY's opinion,PersonX knows PersonY's opinion,tst,avoid,verb
PersonX avoids using PersonX's coupons,PersonX uses PersonX's coupons,tst,avoid,verb
PersonX avoids learning a new instrument,PersonX learns a new instrument,tst,avoid,verb
PersonX avoids hitting the headlines,PersonX hits the headlines,tst,avoid,verb
PersonX avoids coming to PersonY's house,PersonX comes to PersonY's house,tst,avoid,verb
PersonX avoids visiting the city,PersonX visits the city,tst,avoid,verb
PersonX avoids taking a step forward,PersonX takes a step forward,tst,avoid,verb
PersonX avoids throwing the ball,PersonX throws the ball,tst,avoid,verb
PersonX avoids buying the computer,PersonX buys the computer,tst,avoid,verb
PersonX avoids baking an apple pie,PersonX bakes an apple pie,tst,avoid,verb
PersonX avoids finding another place,PersonX finds another place,tst,avoid,verb
PersonX avoids skating around,PersonX skates around,tst,avoid,verb
PersonX avoids finding PersonY's ball,PersonX finds PersonY's ball,tst,avoid,verb
PersonX avoids making thanksgiving dinner,PersonX makes thanksgiving dinner,tst,avoid,verb
PersonX avoids learning new things,PersonX learns new things,tst,avoid,verb
PersonX stops starting to swell,PersonX starts to swell,tst,stop,verb
PersonX stops seeing PersonY brother,PersonX sees PersonY brother,tst,stop,verb
PersonX stops justifying PersonX's actions,PersonX justifies PersonX's actions,tst,stop,verb
PersonX stops covering every aspect,PersonX covers every aspect,tst,stop,verb
PersonX stops starting a campfire,PersonX starts a campfire,tst,stop,verb
PersonX stops liking cheese,PersonX likes cheese,tst,stop,verb
PersonX stops pulling PersonY's arm,PersonX pulls PersonY's arm,tst,stop,verb
PersonX stops running for class president,PersonX runs for class president,tst,stop,verb
PersonX stops throwing money away,PersonX throws money away,tst,stop,verb
PersonX stops sitting next to PersonY in class,PersonX sits next to PersonY in class,tst,stop,verb
PersonX stops calling PersonX's son,PersonX calls PersonX's son,tst,stop,verb
PersonX stops touching PersonY's skin,PersonX touches PersonY's skin,tst,stop,verb
PersonX stops eating it,PersonX eats it,tst,stop,verb
PersonX stops using coupons,PersonX uses coupons,tst,stop,verb
PersonX stops getting warm,PersonX gets warm,tst,stop,verb
PersonX stops making lemonade,PersonX makes lemonade,tst,stop,verb
PersonX stops wanting a car,PersonX wants a car,tst,stop,verb
PersonX stops getting a part time job,PersonX gets a part time job,tst,stop,verb
PersonX stops grabbing PersonY's hair,PersonX grabs PersonY's hair,tst,stop,verb
PersonX ceases curling PersonX's hair,PersonX curls PersonX's hair,tst,cease,verb
PersonX ceases telling PersonY's mother,PersonX tells PersonY's mother,tst,cease,verb
PersonX ceases opening the doors,PersonX opens the doors,tst,cease,verb
PersonX ceases calling for PersonY,PersonX calls for PersonY,tst,cease,verb
PersonX ceases increasing PersonX's capacity,PersonX increases PersonX's capacity,tst,cease,verb
PersonX ceases seeming perfect,PersonX seems perfect,tst,cease,verb
PersonX ceases using the card,PersonX uses the card,tst,cease,verb
PersonX ceases putting PersonY's head down,PersonX puts PersonY's head down,tst,cease,verb
PersonX ceases going to the doctor for help,PersonX goes to the doctor for help,tst,cease,verb
PersonX ceases burning PersonX's arm,PersonX burns PersonX's arm,tst,cease,verb
PersonX discontinues following PersonY's instructions,PersonX follows PersonY's instructions,tst,discontinue,verb
PersonX discontinues making a change,PersonX makes a change,tst,discontinue,verb
PersonX discontinues writing music,PersonX writes music,tst,discontinue,verb
PersonX discontinues paying PersonY taxes,PersonX pays PersonY taxes,tst,discontinue,verb
PersonX discontinues crossing the road,PersonX crosses the road,tst,discontinue,verb
PersonX discontinues confronting PersonX's roommate,PersonX confronts PersonX's roommate,tst,discontinue,verb
PersonX discontinues watching a scary movie,PersonX watches a scary movie,tst,discontinue,verb
PersonX discontinues opening the doors,PersonX opens the doors,tst,discontinue,verb
PersonX discontinues leading PersonY into temptation,PersonX leads PersonY into temptation,tst,discontinue,verb
PersonX discontinues wearing sandals,PersonX wears sandals,tst,discontinue,verb
PersonX discontinues bringing down the house,PersonX brings down the house,tst,discontinue,verb
PersonX discontinues shouting PersonY's name,PersonX shouts PersonY's name,tst,discontinue,verb
PersonX discontinues waving PersonY over,PersonX waves PersonY over,tst,discontinue,verb
PersonX discontinues putting everything together,PersonX puts everything together,tst,discontinue,verb
PersonX discontinues leaning back in PersonY's seat,PersonX leans back in PersonY's seat,tst,discontinue,verb
PersonX discontinues getting PersonX's hands dirty,PersonX gets PersonX's hands dirty,tst,discontinue,verb
PersonX resists drawing PersonY conclusion,PersonX draws PersonY conclusion,tst,resist,verb
PersonX resists eating less,PersonX eats less,tst,resist,verb
PersonX resists bringing people together,PersonX brings people together,tst,resist,verb
PersonX resists making every effort,PersonX makes every effort,tst,resist,verb
PersonX resists turning PersonY's backs,PersonX turns PersonY's backs,tst,resist,verb
PersonX resists asking PersonY to sit down,PersonX asks PersonY to sit down,tst,resist,verb
PersonX resists pulling PersonY's car over,PersonX pulls PersonY's car over,tst,resist,verb
PersonX resists coming to see PersonY,PersonX comes to see PersonY,tst,resist,verb
PersonX resists picking up PersonY,PersonX picks up PersonY,tst,resist,verb
PersonX resists reading the note,PersonX reads the note,tst,resist,verb
PersonX resists taking PersonY's place,PersonX takes PersonY's place,tst,resist,verb
PersonX resists exercising every day,PersonX exercises every day,tst,resist,verb
PersonX resists borrowing PersonY's car,PersonX borrows PersonY's car,tst,resist,verb
PersonX resists buying PersonY a dog,PersonX buys PersonY a dog,tst,resist,verb
PersonX resists huddling together,PersonX huddles together,tst,resist,verb
PersonX resists challenging PersonY's friend,PersonX challenges PersonY's friend,tst,resist,verb
PersonX resists visiting PersonX's cousin,PersonX visits PersonX's cousin,tst,resist,verb
PersonX resists starting a family,PersonX starts a family,tst,resist,verb
PersonX resists cracking the eggs,PersonX cracks the eggs,tst,resist,verb
PersonX resists seeing a pretty girl,PersonX sees a pretty girl,tst,resist,verb
PersonX resists taking the new job,PersonX takes the new job,tst,resist,verb
PersonX resists hanging PersonY's clothes,PersonX hangs PersonY's clothes,tst,resist,verb
PersonX resists abusing PersonX's power,PersonX abuses PersonX's power,tst,resist,verb
PersonX resists sending a letter,PersonX sends a letter,tst,resist,verb
PersonX halts getting PersonY's driver's license,PersonX gets PersonY's driver's license,tst,halt,verb
PersonX halts making cakes,PersonX makes cakes,tst,halt,verb
PersonX halts running errands,PersonX runs errands,tst,halt,verb
PersonX halts divorcing PersonX's husband,PersonX divorces PersonX's husband,tst,halt,verb
PersonX halts getting published,PersonX gets published,tst,halt,verb
PersonX halts falling into the wrong hands,PersonX falls into the wrong hands,tst,halt,verb
PersonX halts seeing PersonY's mother,PersonX sees PersonY's mother,tst,halt,verb
PersonX halts visiting PersonY's cousin,PersonX visits PersonY's cousin,tst,halt,verb
PersonX halts asking PersonX's little brother,PersonX asks PersonX's little brother,tst,halt,verb
PersonX halts preheating the oven,PersonX preheats the oven,tst,halt,verb
PersonX halts visiting the city,PersonX visits the city,tst,halt,verb
PersonX halts trying to keep it a secret,PersonX tries to keep it a secret,tst,halt,verb
PersonX halts visiting a farm,PersonX visits a farm,tst,halt,verb
PersonX disapproves waiting all day,PersonX waits all day,tst,disapprove,verb
PersonX disapproves exerting PersonX's influence,PersonX exerts PersonX's influence,tst,disapprove,verb
PersonX disapproves paying PersonX's taxes,PersonX pays PersonX's taxes,tst,disapprove,verb
PersonX disapproves going to the library to study,PersonX goes to the library to study,tst,disapprove,verb
PersonX disapproves directing PersonY,PersonX directs PersonY,tst,disapprove,verb
PersonX disapproves making a change,PersonX makes a change,tst,disapprove,verb
PersonX disapproves taking it everywhere,PersonX takes it everywhere,tst,disapprove,verb
PersonX disapproves asking PersonY to pray,PersonX asks PersonY to pray,tst,disapprove,verb
PersonX disapproves selling PersonX's jewelry,PersonX sells PersonX's jewelry,tst,disapprove,verb
PersonX disapproves bossing PersonY around,PersonX bosses PersonY around,tst,disapprove,verb
PersonX disapproves visiting a farm,PersonX visits a farm,tst,disapprove,verb
PersonX disapproves using PersonX's skills,PersonX uses PersonX's skills,tst,disapprove,verb
PersonX disapproves turning PersonY's life around,PersonX turns PersonY's life around,tst,disapprove,verb
PersonX disapproves moving PersonY's car,PersonX moves PersonY's car,tst,disapprove,verb
PersonX disapproves planning PersonX's trip,PersonX plans PersonX's trip,tst,disapprove,verb
PersonX disapproves asking anyone,PersonX asks anyone,tst,disapprove,verb
PersonX disapproves making a turn,PersonX makes a turn,tst,disapprove,verb
PersonX disapproves donating plasma,PersonX donates plasma,tst,disapprove,verb
PersonX opposes throwing money away,PersonX throws money away,tst,oppose,verb
PersonX opposes laying on top of PersonY,PersonX lays on top of PersonY,tst,oppose,verb
PersonX opposes conducting PersonY investigation,PersonX conducts PersonY investigation,tst,oppose,verb
PersonX opposes asking PersonY to try,PersonX asks PersonY to try,tst,oppose,verb
PersonX opposes saying goodnight,PersonX says goodnight,tst,oppose,verb
PersonX opposes withdrawing money,PersonX withdraws money,tst,oppose,verb
PersonX opposes making the cookies,PersonX makes the cookies,tst,oppose,verb
PersonX opposes using PersonX's coupons,PersonX uses PersonX's coupons,tst,oppose,verb
PersonX opposes meeting PersonY's standards,PersonX meets PersonY's standards,tst,oppose,verb
PersonX opposes crossing the road,PersonX crosses the road,tst,oppose,verb
PersonX opposes watching a scary movie,PersonX watches a scary movie,tst,oppose,verb
PersonX opposes leaving the class,PersonX leaves the class,tst,oppose,verb
PersonX opposes advertising PersonY's business,PersonX advertises PersonY's business,tst,oppose,verb
PersonX opposes giving PersonY a account,PersonX gives PersonY a account,tst,oppose,verb
PersonX opposes taking PersonX's outside,PersonX takes PersonX's outside,tst,oppose,verb
PersonX opposes switching PersonX's major,PersonX switches PersonX's major,tst,oppose,verb
PersonX opposes setting the table,PersonX sets the table,tst,oppose,verb
PersonX opposes spending a lot of money,PersonX spends a lot of money,tst,oppose,verb
PersonX opposes renting an apartment,PersonX rents an apartment,tst,oppose,verb
PersonX opposes going to class the next day,PersonX goes to class the next day,tst,oppose,verb
PersonX opposes turning PersonY's music down,PersonX turns PersonY's music down,tst,oppose,verb
PersonX opposes dying PersonY's hair pink,PersonX dyes PersonY's hair pink,tst,oppose,verb
PersonX has problem with making too much noise,PersonX makes too much noise,tst,have problem with,multi_word
PersonX has problem with getting snacks,PersonX gets snacks,tst,have problem with,multi_word
PersonX has problem with moving out on PersonX's own,PersonX moves out on PersonX's own,tst,have problem with,multi_word
PersonX has problem with making a salad,PersonX makes a salad,tst,have problem with,multi_word
PersonX has problem with playing a new game,PersonX plays a new game,tst,have problem with,multi_word
PersonX has problem with attending college,PersonX attends college,tst,have problem with,multi_word
PersonX has problem with giving PersonY a note,PersonX gives PersonY a note,tst,have problem with,multi_word
PersonX has problem with expressing PersonX's belief,PersonX expresses PersonX's belief,tst,have problem with,multi_word
PersonX has problem with exercising every day,PersonX exercises every day,tst,have problem with,multi_word
PersonX has problem with getting milk,PersonX gets milk,tst,have problem with,multi_word
PersonX has problem with getting dressed,PersonX gets dressed,tst,have problem with,multi_word
PersonX has problem with driving anyway,PersonX drives anyway,tst,have problem with,multi_word
PersonX has problem with throwing the frisbee,PersonX throws the frisbee,tst,have problem with,multi_word
PersonX has problem with calling PersonX's son,PersonX calls PersonX's son,tst,have problem with,multi_word
PersonX has problem with sending PersonY home,PersonX sends PersonY home,tst,have problem with,multi_word
PersonX has problem with following the recipe,PersonX follows the recipe,tst,have problem with,multi_word
PersonX has problem with borrowing PersonY's car,PersonX borrows PersonY's car,tst,have problem with,multi_word
PersonX has problem with losing sight of PersonY,PersonX loses sight of PersonY,tst,have problem with,multi_word
PersonX has problem with unlocking the door,PersonX unlocks the door,tst,have problem with,multi_word
PersonX has problem with doing yard work,PersonX does yard work,tst,have problem with,multi_word
PersonX has problem with buying a dog,PersonX buys a dog,tst,have problem with,multi_word
PersonX has problem with learning a new language,PersonX learns a new language,tst,have problem with,multi_word
PersonX has trouble with overflowing PersonY's banks,PersonX overflows PersonY's banks,tst,have trouble with,multi_word
PersonX has trouble with buying a used car,PersonX buys a used car,tst,have trouble with,multi_word
PersonX has trouble with meeting PersonX's standards,PersonX meets PersonX's standards,tst,have trouble with,multi_word
PersonX has trouble with working PersonY's way up,PersonX works PersonY's way up,tst,have trouble with,multi_word
PersonX has trouble with entering PersonY's car,PersonX enters PersonY's car,tst,have trouble with,multi_word
PersonX has trouble with passing the exam,PersonX passes the exam,tst,have trouble with,multi_word
PersonX has trouble with finding a good spot,PersonX finds a good spot,tst,have trouble with,multi_word
PersonX has trouble with making pasta for dinner,PersonX makes pasta for dinner,tst,have trouble with,multi_word
PersonX has trouble with sending PersonY to the showers,PersonX sends PersonY to the showers,tst,have trouble with,multi_word
PersonX has trouble with advertising PersonX's business,PersonX advertises PersonX's business,tst,have trouble with,multi_word
PersonX has trouble with leaving PersonY's car,PersonX leaves PersonY's car,tst,have trouble with,multi_word
PersonX has trouble with sitting together,PersonX sits together,tst,have trouble with,multi_word
PersonX has trouble with cleaning PersonY's bedroom,PersonX cleans PersonY's bedroom,tst,have trouble with,multi_word
PersonX has trouble with using PersonY's coupons,PersonX uses PersonY's coupons,tst,have trouble with,multi_word
PersonX has done nothing wrong,PersonX has done something wrong,tst,nothing,single_word
PersonX realizes nothing,PersonX realizes something,tst,nothing,single_word
PersonX steals nothing,PersonX steals anything,tst,nothing,single_word
PersonX smells nothing,PersonX smells something,tst,nothing,single_word
PersonX gets nothing to eat,PersonX gets something to eat,tst,nothing,single_word
PersonX builds nothing,PersonX builds something,tst,nothing,single_word
PersonX agrees on nothing,PersonX agrees on anything,tst,nothing,single_word
PersonX looks like nothing,PersonX looks like something,tst,nothing,single_word
PersonX gets nothing to drink,PersonX gets something to drink,tst,nothing,single_word
PersonX gets PersonY's nothing special,PersonX gets PersonY's something special,tst,nothing,single_word
PersonX asks nobody,PersonX asks anyone,tst,nobody,single_word
PersonX notices nobody,PersonX notices someone,tst,nobody,single_word
PersonX meets nobody new,PersonX meets someone new,tst,nobody,single_word
PersonX meets nobody,PersonX meets someone,tst,nobody,single_word
PersonX under no circumstances puts PersonY in mind,PersonX puts PersonY in mind,tst,under no circumstances,multi_word
PersonX under no circumstances makes that mistake again,PersonX makes that mistake again,tst,under no circumstances,multi_word
PersonX under no circumstances eats crackers,PersonX eats crackers,tst,under no circumstances,multi_word
PersonX under no circumstances turns PersonX's music down,PersonX turns PersonX's music down,tst,under no circumstances,multi_word
PersonX under no circumstances begins school,PersonX begins school,tst,under no circumstances,multi_word
PersonX under no circumstances puts it in the oven,PersonX puts it in the oven,tst,under no circumstances,multi_word
PersonX under no circumstances loses PersonX's sense,PersonX loses PersonX's sense,tst,under no circumstances,multi_word
PersonX under no circumstances gives PersonY PersonX's opinion,PersonX gives PersonY PersonX's opinion,tst,under no circumstances,multi_word
PersonX under no circumstances gets right back,PersonX gets right back,tst,under no circumstances,multi_word
