event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX has no luck in online auctions,"[""none"", ""unable to get through to PersonX"", ""has to give up on another sale""]","[""none""]","[""none""]","[""unlucky"", ""thick"", ""sad"", ""upset""]","[""they don't get the item"", ""gets outbid for the item they wanted"", ""gets contacted by the seller""]","[""none""]","[""to not research"", ""to bid on the wrong things"", ""none""]","[""sad"", ""unhappy"", ""unlucky"", ""wasted""]","[""learn to bid better"", ""give up"", ""to win for once"", ""get a great deal""]",trn,PersonX finds one on ebay,no,single_word
PersonX denies PersonY power,"[""none"", ""does not have anymore duties"", ""gets exiled""]","[""none""]","[""none""]","[""cruel"", ""heartless"", ""controlling"", ""self-centered""]","[""none"", ""gets rebelled against"", ""gets obeyed""]","[""none""]","[""to take a strong stance"", ""to stand up to PersonY"", ""none""]","[""sad"", ""unhappy"", ""powerful"", ""rude""]","[""to send PersonY away"", ""to remain strong"", ""to see what they could do"", ""to punish them""]",trn,PersonX gives PersonY power,deny,verb
PersonX completely avoids PersonY,"[""none"", ""loses a friend"", ""does not run into PersonX""]","[""none"", ""rejected"", ""alone""]","[""to follow personX"", ""to approach personX"", ""none""]","[""elusive"", ""slippery"", ""ignorant"", ""anti social""]","[""move away from y"", ""go to peaceful place"", ""gets a call"", ""gets chased""]","[""to be alone"", ""to break things off"", ""to stay away from the other person"", ""be around someone else""]","[""none""]","[""wary"", ""uncomfortable"", ""annoyed""]","[""to go somewhere else"", ""to find a different friend"", ""to let y down"", ""wants to be alone""]",trn,PersonX puts a hand on PersonY's shoulder,avoid,verb
PersonX has no effect on PersonY,"[""none"", ""yawns"", ""falls asleep""]","[""none""]","[""none""]","[""impotent"", ""unremarkable"", ""forgettable"", ""nondescript""]","[""none"", ""gets insulted"", ""gets criticism""]","[""none""]","[""none""]","[""bored"", ""indifferent"", ""frustrated"", ""impotent"", ""useless""]","[""to be a good person"", ""not cause problems for personY"", ""to get the attention of Y"", ""to talk to Y""]",trn,PersonX sweeps PersonY off their feet,no,single_word
PersonX avoids personY for the time,"[""none"", ""is remorseful"", ""is alone""]","[""none"", ""rejected"", ""alone""]","[""to find PersonX"", ""to ask around about PersonX"", ""none""]","[""distant"", ""impolite"", ""upset""]","[""PersonX ask help to PersonY"", ""PersonY refuse to do help"", ""none""]","[""none"", ""to be alone"", ""to punish person y for their behavior""]","[""to hide in the back of the room"", ""turn their head away"", ""none""]","[""lonely"", ""uncared for"", ""angry"", ""hostile""]","[""to not be delayed"", ""to arrive on time"", ""to be approved"", ""to  sure""]",trn,PersonX sees PersonY for the time,avoid,verb
PersonX dislikes PersonX's grandparents,"[""none""]","[""upset"", ""regret"", ""none""]","[""none""]","[""scared"", ""sick"", ""judgemental"", ""cold""]","[""none""]","[""to be mean"", ""to be ungrateful"", ""none""]","[""none"", ""to see grandparents"", ""to talk to the grandparents""]","[""nasty"", ""aggressive"", ""sad"", ""unhappy""]","[""keep away"", ""avoid them"", ""to finish the work"", ""to earn money""]",trn,PersonX calls PersonX's grandparents,dislike,affixes_verb
PersonX opposes PersonY,"[""Y storms out"", ""Y drives away"", ""gets questioned"", ""gets queried""]","[""set upon"", ""upset"", ""attacked"", ""hostile""]","[""none"", ""to argue"", ""to contradict them""]","[""antagonistic"", ""stubborn"", ""angry"", ""unwilling""]","[""gets yelled at"", ""gets told off"", ""none""]","[""to overwhelm Y"", ""to win over others to their side"", ""to confront person y"", ""to dominate person y""]","[""none"", ""to have an opinion"", ""to know Y's stance""]","[""challenging"", ""forceful"", ""angry"", ""fired up""]","[""to be more attentive"", ""to be hide them"", ""to make a stand"", ""to make Y mad""]",trn,PersonX shares PersonY's feelings,oppose,verb
PersonX refuses to visit PersonY,"[""none""]","[""sad"", ""depressed"", ""none""]","[""to apologize"", ""to explain their side"", ""none""]","[""mean"", ""rude"", ""pigheaded"", ""callous""]","[""gets yelled at"", ""loses friend"", ""none""]","[""to be alone"", ""to break up"", ""none""]","[""to become angry"", ""to get into an argument"", ""none""]","[""guilty"", ""ashamed"", ""mean"", ""selfish""]","[""to stay alone"", ""to avoid people"", ""to forget them"", ""to be alone at home""]",trn,PersonX pays PersonY visit,refuse,verb
PersonX avoids dating others,"[""none""]","[""none""]","[""none""]","[""faithful"", ""devoted"", ""dependable"", ""introverted"", ""isolated""]","[""none"", ""is lonely"", ""has a lot of free time""]","[""none""]","[""none""]","[""careful"", ""watchful"", ""lonely"", ""faithful""]","[""to marry one"", ""to talk with parents"", ""to remain single for a while"", ""to work on their own lives""]",trn,PersonX meets a girl online,avoid,verb
PersonX avoids PersonY,"[""gets suspicious"", ""gets new friends"", ""none"", ""loses respect for person y"", ""loses a friend"", ""wonders what is wrong"", ""avoids PersonX"", ""becomes distant from personx"", ""starts forgetting personx""]","[""none"", ""rejected"", ""excluded"", ""unwanted"", ""uninteresting"", ""confused"", ""alone"", ""ignored"", ""disappointed""]","[""to avoid personx"", ""to not talk to personx"", ""none"", ""to apologize to Person X for making them uncomfortable"", ""to resume their friendship"", ""to go after person X"", ""to make amends"", ""to talk to personx"", ""have a cat"", ""receive an apology"", ""avoid personX"", ""to confront PersonX"", ""to avoid PersonX""]","[""cowardly"", ""introverted"", ""rude"", ""mean"", ""shy"", ""mistrusting"", ""skeptical"", ""selfish"", ""anti social"", ""unfriendly"", ""suspicious"", ""distrustful"", ""non-confrontational"", ""cold"", ""a loner"", ""antisocial""]","[""gets confronted"", ""gets ignored back"", ""none"", ""gets yelled at"", ""loses a friend"", ""holds a grudge"", ""puts it out of their mind"", ""Questioned by personY"", ""Forced to move closer to personY"", ""Yelled at by personY"", ""Kicked out of house""]","[""none"", ""keep their distance"", ""not engage"", ""to make new friends"", ""to hurt personY"", ""to stay away from them"", ""to have some alone time"", ""to not talk to PersonY"", ""to have peace"", ""to be alone"", ""to end a friendship"", ""not to talk to PersonY"", ""to stay away from persony"", ""persony to go away""]","[""none"", ""know personY"", ""not like personY"", ""to be asked out by the other individual"", ""to decline the offer"", ""to get hurt by person Y"", ""to feel pain"", ""be aware of personY"", ""be compelled to stay away"", ""to be invlved in a disagreement"", ""to decide to keep their distance with the other individual"", ""to know PersonY"", ""to get into a disagreement with PersonY""]","[""happy"", ""safe"", ""sad"", ""unhappy"", ""lonely"", ""cowardly"", ""irritable"", ""hostile"", ""happy to be alone"", ""ready for some quality me time"", ""cautious"", ""careful"", ""avoidant"", ""peaceful"", ""annoyed"", ""relieved"", ""like they want to be alone"", ""like not being social"", ""bothered""]","[""to avoid conflict"", ""to avoid fighting"", ""to teach them a lesson"", ""to be alone"", ""ignore personY"", ""meet new people"", ""to not feel awkward"", ""to not be asked out again"", ""to steer clear of pain"", ""to leave"", ""to avoid confrontation"", ""ignore their problems"", ""find other friends to hang out with"", ""offer an explanation"", ""to be free from conflict"", ""to not get into another argument"", ""to stop speaking to PersonY"", ""to work things out with PersonY""]",trn,PersonX comforts PersonY,avoid,verb
PersonX never met PersonY,"[""none"", ""ignores PersonX"", ""frowns""]","[""none""]","[""none""]","[""incurious"", ""inattentive"", ""withdrawn"", ""reclusive""]","[""none""]","[""none""]","[""none""]","[""disappointed"", ""sad"", ""oblivious"", ""carefree""]","[""to meet them"", ""to speak to them"", ""to be more attentive"", ""to be arrange the meeting""]",trn,PersonX means everything to PersonY,never,single_word
PersonX refuses to go there,"[""none""]","[""disobeyed by their subordinate"", ""sad their friend isn't coming"", ""none""]","[""none""]","[""scared"", ""stubborn"", ""indifferent"", ""shy""]","[""gets in trouble"", ""gets convinced to go"", ""none""]","[""to stay away from danger"", ""to avoid the big crowd"", ""to avoid trouble"", ""safety""]","[""hear about a place"", ""not like the place"", ""to know about that place"", ""to stay away from that place""]","[""safe from the crowd"", ""prudent for making a wise choice"", ""relieved"", ""glad""]","[""go somewhere else"", ""walk away"", ""to find an another way"", ""to reach the destination""]",trn,PersonX decides to go there,refuse,verb
PersonX refused to play checkers with PersonY.,"[""frowns"", ""thinks about playing with someone else"", ""none""]","[""none"", ""hurt"", ""annoyed"", ""ignored""]","[""to find someone else to play with"", ""to invite them another time"", ""none""]","[""tired"", ""exhausted"", ""bad-mannered"", ""impolite""]","[""none"", ""sleeps instead"", ""sends Y away""]","[""none"", ""to play another game"", ""to upset PersonY""]","[""to get invited to play"", ""to have an excuse"", ""none""]","[""scared"", ""like a looser"", ""powerful"", ""indignant"", ""stubborn""]","[""to stay at home"", ""apologize to PersonY"", ""to buy food"", ""to be run the game""]",trn,PersonX plays chess with PersonY,refuse,verb
PersonX meets no one,"[""none""]","[""none""]","[""none""]","[""reclusive"", ""isolated"", ""antisocial"", ""distant"", ""detached""]","[""none"", ""knows less people"", ""has less chances to arrange get togethers""]","[""none"", ""to be alone"", ""to go somewhere else""]","[""none""]","[""relaxed"", ""at-ease"", ""active"", ""hustling""]","[""to spend time meeting new people"", ""to settle down in a long term relationship"", ""to do something"", ""to meet new people""]",trn,PersonX meets new friends,no,single_word
PersonX refuses PersonY's gift.,"[""becomes sad"", ""cries"", ""Devastated emotionally"", ""Cannot sleep at night""]","[""none""]","[""none""]","[""stoic"", ""determined"", ""rude"", ""spoiled""]","[""regrets"", ""cries"", ""Ridiculed by personY"", ""Kicked out of house""]","[""none""]","[""know personY"", ""not want a gift"", ""none""]","[""annoyed"", ""sad"", ""unsatisfied"", ""not connected""]","[""get a different gift"", ""walk away"", ""Go to birthday party"", ""visit all friends""]",trn,PersonX buys PersonY a gift,refuse,verb
PersonX does it without any help.,"[""none""]","[""none""]","[""none""]","[""indepedent"", ""self-reliant"", ""capable"", ""independent""]","[""none""]","[""none""]","[""a plan"", ""to work hard"", ""none""]","[""powerful"", ""energetic"", ""helpful"", ""strong""]","[""to be a successful person"", ""to get a promotion"", ""to be independant"", ""rely on no one""]",trn,PersonX calls PersonY's dad for help,without,single_word
PersonX stopped PersonY's course.,"[""none"", ""get sicker from illness without treatment"", ""transferred to another hospital""]","[""hurt"", ""frustrated"", ""none""]","[""none"", ""get to their destination"", ""receive an explanation""]","[""obstructive"", ""inconsiderate"", ""obstructing"", ""powerful"", ""rude""]","[""Questioned by personY"", ""Asked to resume the course"", ""none""]","[""To block Y"", ""To thwart Y"", ""none""]","[""to take an action"", ""to make a decision"", ""know the course"", ""approach personY""]","[""justified"", ""effective"", ""mean"", ""selfish""]","[""to join person y in a new course"", ""to have dinner"", ""offer a different way"", ""inhibit personY's progress""]",trn,PersonX continues PersonY's course,stop,verb
PersonX has no talents to sell to others.,"[""none""]","[""none""]","[""none""]","[""incompetent"", ""untrained"", ""dejected"", ""uninspired"", ""isolated""]","[""has trouble getting a job"", ""does not have many hobbies"", ""none""]","[""none""]","[""needs money"", ""looks for a talent or trait in theirself"", ""none""]","[""sad"", ""lonely"", ""like a failure"", ""depressed""]","[""to find a normal job"", ""develop his talents"", ""to go to school"", ""to do manual labor as a job""]",trn,PersonX offer PersonX's services,no,single_word
PersonX refuses to help PersonY.,"[""is weak"", ""is tired"", ""have to do it all alone"", ""have to call someone else"", ""Is tired"", ""is concerned"", ""Must struggle alone"", ""Has to find new help"", ""sad"", ""frustrated"", ""none"", ""becomes lost"", ""fails their task"", ""angry"", ""they have more work to do alone""]","[""none"", ""rejected"", ""unwanted"", ""sad"", ""annoyed"", ""disappointed"", ""hurt"", ""ignored"", ""angered""]","[""to find someone else to help"", ""to argue with personX"", ""receive an explanation"", ""find someone else to help"", ""to be helped"", ""to be assited"", ""beg and plead with X to change their mind"", ""Explain why they really need help"", ""to shout at personx"", ""to hit personx"", ""none"", ""to ask someone else for help"", ""to help themselves"", ""to recieve assistance"", ""to not feel ignored"", ""receive help from someone else""]","[""unhelpful"", ""disagreeable"", ""selfish"", ""self-centered"", ""rude"", ""callous"", ""egocentric"", ""mean-spirited"", ""mean"", ""hurtful"", ""uncaring"", ""lazy"", ""intelligent"", ""fearful""]","[""none"", ""Scolded by personY"", ""Kicked out of house"", ""is resented by persony"", ""is free of dependence"", ""lose a friend""]","[""none"", ""to be selfish"", ""to be alone"", ""to relax"", ""to take a nap"", ""to be greedy"", ""to make PersonY independent"", ""to do something else"", ""them to fail"", ""revenge""]","[""none"", ""be asked to help"", ""be aware personY needs help"", ""listen to Y's request for help"", ""consider the pros and cons of the request"", ""to go out"", ""to walk"", ""to see them struggling"", ""to realize they need assistance"", ""to decide to not get involved""]","[""mean"", ""selfish"", ""ungreatful"", ""rude"", ""happy"", ""alone"", ""calm"", ""refreshed"", ""bad"", ""greedy"", ""regretful"", ""righteous"", ""avenged"", ""no remorse""]","[""to do something for themselves"", ""to avoid personY"", ""help themselves"", ""remain uninvolved"", ""ignore"", ""be indifferent"", ""explain to Y why they are refusing"", ""stand firm in their decision against begging"", ""to abuse persony"", ""to make persony look bad"", ""to convince PersonY"", ""to ask sorry to personY"", ""to help someone else"", ""to help them after all"", ""to go back home"", ""to buy coffee"", ""to keep to themself"", ""to not worry about others"", ""let personY suffer""]",trn,PersonX buys PersonY a pair,refuse,verb
PersonX avoids a fight,"[""none""]","[""indignant"", ""angry"", ""relieved to have not gotten into a fight"", ""embarressed with their behavior""]","[""none""]","[""conscientious"", ""cautious"", ""fearful"", ""wise""]","[""none"", ""walks away"", ""tries to make peace""]","[""to stay safe"", ""to not rock the boat"", ""to not be hurt"", ""to not be arrested for assault and battery""]","[""to calm the situation"", ""to get in a safer space with others"", ""none""]","[""nervous"", ""scared"", ""happy to have made the right choice"", ""like escaping the situation""]","[""to leave the person who wants to fight"", ""to avoid a future fight"", ""remain calm"", ""make friends""]",trn,PersonX picks a fight,avoid,verb
PersonX has never met PersonY's parents.,"[""none""]","[""lonely"", ""sad"", ""none""]","[""to avoid conversation"", ""to stay away from parents"", ""none""]","[""unsocial"", ""secluded"", ""solitary""]","[""none""]","[""none"", ""to do something else"", ""to remain unfocused""]","[""none""]","[""disappointed"", ""relieved"", ""powerful"", ""satisfied""]","[""to set up a meeting"", ""to talk to PersonY about their parents"", ""to meet the parents"", ""to make a good impression""]",trn,PersonX talks to PersonY's parents,never,single_word
Person X is unable to fix my car,"[""they have to get another car"", ""none""]","[""none""]","[""find somewhere else to get their car fixed"", ""search for a bargain"", ""none""]","[""untrained"", ""unskilled"", ""inexperienced"", ""incompetent""]","[""none"", ""is not payed"", ""has to stop trying to work on vehicle""]","[""none""]","[""put the car up on jack stands"", ""investigate the car's problem"", ""to see the car"", ""to know about the car""]","[""dissapointed"", ""let down"", ""sad"", ""unhappy""]","[""clean off their tools"", ""put the jack stands away"", ""to do another work"", ""to buy vegetables""]",trn,PersonX fixes my car,unable,affixes_adj
"PersonX dines alone, without PersonY","[""none""]","[""none""]","[""to eat with PersonX"", ""to work"", ""Make plans with other friends"", ""Spend the evening alone""]","[""solitary"", ""content"", ""regretful"", ""lonely"", ""reclusive"", ""alone""]","[""none"", ""Went out"", ""Feel alone""]","[""none""]","[""to get food"", ""to eat food"", ""Cancel plans with personY"", ""Make reservations only for themselves""]","[""lonely"", ""bored"", ""satisfied"", ""full""]","[""to eat their food"", ""to be with PersonY"", ""Home home and relax"", ""Make plans for the rest of the evening""]",trn,PersonX eats lunch with PersonY,without,single_word
PersonX dislikes PersonY the most.,"[""none""]","[""none""]","[""none""]","[""hateful"", ""spiteful"", ""unaccepting""]","[""none"", ""Body temperature rises from being annoyed"", ""Muscles tense from being annoyed""]","[""none""]","[""none""]","[""hateful"", ""annoyed"", ""disliking"", ""mad""]","[""avoid y"", ""express their feelings"", ""to feel alone"", ""to stay at home""]",trn,PersonX likes PersonY more,dislike,affixes_verb
PersonX avoids a marathon.,"[""none""]","[""none""]","[""none""]","[""slothful"", ""lackadaisical"", ""uninterested"", ""unphysical""]","[""gets out of shape"", ""gets fat"", ""none""]","[""none""]","[""none"", ""to take bath"", ""to eat breakfast""]","[""weak"", ""small"", ""like a looser"", ""competitive""]","[""stays at home"", ""has more free time"", ""to play video games"", ""to clean the room""]",trn,PersonX enters a marathon,avoid,verb
PersonX refuses PersonY,"[""none""]","[""none""]","[""to pursue the matter further"", ""to let the matter drop"", ""none""]","[""adamant"", ""decisive"", ""closed-minded"", ""strict""]","[""gets argued with"", ""is told to leave"", ""none""]","[""none""]","[""to know PersonY"", ""have something PersonY wants"", ""none""]","[""sad"", ""unloving"", ""annoyed"", ""disappointed""]","[""PersonY to stop asking"", ""PersonY to leave"", ""stays on their own"", ""watches a movie""]",trn,PersonX lets PersonY,refuse,verb
PersonX refuses to speak to PersonY when PersonY calls.,"[""yells at personX"", ""becomes angry"", ""none""]","[""none"", ""rejected"", ""sad""]","[""to say sorry to PersonX"", ""to talk to PersonX"", ""keep calling until they get a response"", ""try to get someone else to reason with person X""]","[""dismissive"", ""repudiate"", ""scornful"", ""rude"", ""cowardly""]","[""gets yelled at by personx"", ""gets hung up on"", ""miss an opportunity""]","[""none"", ""to be left alone"", ""nothing to do with personY""]","[""to have a phone"", ""to know PersonY"", ""to fight with PersonY"", ""none""]","[""sad"", ""ignoring"", ""Happy"", ""satisfied""]","[""to ignore PersonY"", ""to avoid PersonY"", ""text person Y to say stop calling"", ""block person Y's phone number""]",trn,PersonX calls PersonY last night,refuse,verb
PersonX wants to avoid time with PersonY.,"[""PersonX doesn't reply to their messages"", ""they never see PersonX around anymore"", ""none""]","[""none"", ""unsure"", ""surprised""]","[""to know what they did wrong"", ""to visit with x"", ""to be angry with PersonX"", ""leave PersonX alone""]","[""unfriendly"", ""selfish"", ""cowardly"", ""independent""]","[""gets messages from PersonY"", ""gets asked if there's a problem"", ""none""]","[""have alone time"", ""keep their distance"", ""to be alone"", ""to take a break""]","[""none"", ""to now PersonY"", ""to be angry with PersonY""]","[""guilty"", ""lonely"", ""tired"", ""nervous""]","[""to enjoy doing a solo activity"", ""to tell Y to stay away"", ""continue to avoid PersonY"", ""to tell PersonY to leave them alone""]",trn,PersonX wants to spend time with PersonY,avoid,verb
PersonX avoids PersonY a lot.,"[""does not run into PersonX"", ""loses a friend"", ""none""]","[""none"", ""unconcerned"", ""unmoved""]","[""none""]","[""aloof"", ""cold"", ""rude"", ""distant"", ""withdrawn""]","[""gets confronted"", ""gets in an argument"", ""none""]","[""none"", ""to avoid conflict"", ""to stay safe""]","[""none"", ""hate y"", ""not feeling well with him""]","[""rude"", ""shy"", ""scared"", ""worried""]","[""nothing to do with them"", ""to be alone"", ""be alone"", ""feel free""]",trn,PersonX sees PersonY much,avoid,verb
