event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonY's family takes PersonX to the beach,trn,"[""lucky"", ""accommodated"", ""friendly"", ""generous""]","[""gets sunburn"", ""sweats"", ""has fun"", ""gets a sunburn"", ""gets wet"", ""gets sandy""]","[""gets sunburn"", ""sweats"", ""have fun"", ""get wet"", ""get sandy""]","[""happy"", ""grateful"", ""elated"", ""excited to see the beach"", ""eager to swim in the ocean""]","[""happy"", ""content"", ""generous"", ""like family to PersonY""]","[""to have fun"", ""to go out"", ""to enjoy the time in the sun"", ""Have a relaxing evening""]","[""none""]","[""none""]","[""none""]",PersonX takes PersonY's family to the beach
PersonX shows PersonX's son,trn,"[""nurturing"", ""compassionate"", ""outspoken"", ""focused""]","[""none"", ""headache"", ""frustration""]","[""none""]","[""satisfied"", ""good"", ""happy"", ""closer to PersonX son""]","[""none"", ""happy"", ""loved""]","[""to teach their son to have good manners"", ""to help their son learn to ride the bike"", ""them to know about life"", ""to have a good relationship""]","[""none""]","[""everyone to be happy"", ""to be nice"", ""to spend time with their son"", ""wants to share knowledge""]","[""none""]",PersonX shows PersonX's daughter
PersonX pushes PersonY forward,trn,"[""bossy"", ""aggressive"", ""rude"", ""mean""]","[""none"", ""they are pushed back""]","[""gets injured"", ""hurts PersonX back"", ""they fall in front of a train"", ""they fall down""]","[""hardworking"", ""fun"", ""malicious"", ""angry""]","[""none"", ""shocked"", ""stunned""]","[""apologize"", ""make personY hurry"", ""to bully person y"", ""to make it worse for person y""]","[""receive an apology"", ""go faster"", ""none""]","[""none"", ""to hurt person y"", ""person y out of the way""]","[""be near personY"", ""reach out for personY"", ""not like person y"", ""for person y to be in the way""]",PersonX pushes PersonY back
Person X doesn’t clap Person Y on his back,trn,"[""uncaring"", ""not sure how to comfort persony"", ""Respectful"", ""Obedient""]","[""none""]","[""none""]","[""hatred"", ""evil"", ""surprised"", ""shocked""]","[""curious"", ""rejected"", ""none""]","[""keep hands to themselves"", ""keep their distance"", ""Ask sorry"", ""Try to understand""]","[""none""]","[""to avoid touching others"", ""to spite personY"", ""none""]","[""none"", ""Went outing for shopping"", ""some problem between them""]",PersonX claps PersonY on the back
PersonX tries to talk PersonY into it,trn,"[""persuasive"", ""convincing"", ""stubborn""]","[""gets a partner"", ""is rejected"", ""earned commission"", ""joined by personY""]","[""is pressured"", ""thinks it over"", ""asked to sign an agreement"", ""bound to the contract""]","[""convincing"", ""frustrated"", ""wondering"", ""happy""]","[""pressured"", ""conflicted"", ""none""]","[""to have their way"", ""for persony to agree"", ""convince personY"", ""make a good argument""]","[""more time to decide"", ""to not be rushed"", ""follow personX's advice"", ""do their own thing""]","[""to not be alone"", ""to hang out together"", ""to be admired"", ""to be kind""]","[""none"", ""develop an argument"", ""approach personY""]",PersonX tries to talk PersonY out of it
PersonX calls all PersonY's enemies,trn,"[""punitive"", ""controlling"", ""mediating"", ""intervening""]","[""is rebuffed"", ""is shunned"", ""talks"", ""chats""]","[""none""]","[""like a snitch"", ""unkind"", ""sad"", ""angry""]","[""none""]","[""talk to the enemies"", ""gather the enemies"", ""to jump persony"", ""make them pay for a past grievance""]","[""avoid the enemies"", ""erceive an explanation"", ""none""]","[""none""]","[""be aware of the enemies"", ""find the phone numbers"", ""none""]",PersonX calls all PersonY's friends
PersonX messes up Y's hair,trn,"[""mean-spirited"", ""spiteful"", ""disrespectful of boundaries"", ""careless""]","[""Scolded by personY"", ""Not given payment"", ""pulls hand back"", ""laughs""]","[""none"", ""furrows brows"", ""straightens hair""]","[""hilarious"", ""uncaring"", ""messy"", ""unkind""]","[""violated"", ""upset"", ""none""]","[""to make them mad"", ""tease them"", ""Apologize to personY"", ""Laugh at personY""]","[""to punch personx"", ""redo their hair"", ""Ask personX to stop"", ""Yell at personX""]","[""to make a joke"", ""to be mean"", ""none""]","[""none"", ""To touch personY's hair"", ""Be close enough to personY to touch""]",PersonX does PersonY's hair and makeup
PersonX makes PersonY's meal.,trn,"[""accomodating"", ""caring"", ""considerate"", ""charitable""]","[""none"", ""thinks of food"", ""washes dishes""]","[""eats the meal"", ""gets a free meal"", ""none""]","[""happy"", ""enjoyment"", ""caring"", ""responsible""]","[""none""]","[""taste the food while cooking"", ""plate the food for PersonY"", ""to serve the meal"", ""to give the meal to PersonY""]","[""thank personX for preparing the food"", ""invite personX to their home for dinner"", ""to eat"", ""to thank PersonX""]","[""none""]","[""shop for groceries"", ""prepare the ingredients for cooking"", ""to go to the kitchen"", ""to cook""]",PersonX eats PersonY's meal
PersonX is dull,trn,"[""boring"", ""unflappable"", ""not fun to be around""]","[""loses friends"", ""gets ignored"", ""none""]","[""none""]","[""dull"", ""sad"", ""relaxed"", ""happy""]","[""none""]","[""to tend to their studies"", ""to have dinner"", ""to liven the party"", ""to be happier""]","[""none""]","[""none""]","[""none""]",PersonX is so much fun
PersonX is ordering takeout,trn,"[""hungry"", ""famished"", ""lazy""]","[""has to pick up food"", ""gets to eat food"", ""none""]","[""none""]","[""hungry"", ""lazy"", ""satiated"", ""full""]","[""none""]","[""to eat at home"", ""to rest"", ""to go home"", ""quick food""]","[""none""]","[""none"", ""to eat"", ""to have food brought to them""]","[""none""]",PersonX is cooking dinner
PersonX breaks my leg,trn,"[""Cruel"", ""threatening"", ""aggressive"", ""violent""]","[""Arrested by police"", ""Put into jail"", ""is hospitalized"", ""is immobilized""]","[""Sent to hospital"", ""Must get emergency surgery"", ""none""]","[""evil"", ""bloodthirsty"", ""careless"", ""pain""]","[""scared"", ""hurt"", ""none""]","[""Play football with neighbors"", ""kick the ball"", ""to hurt someone"", ""cause havoc""]","[""none""]","[""to kill me"", ""to get revenge"", ""none""]","[""none""]",PersonX breaks my arm
PersonX waits for PersonY to move.,trn,"[""patient"", ""singular"", ""considerate""]","[""wonder when PersonY will move"", ""observe PersonY"", ""Says excuse me"", ""moves on""]","[""none"", ""Moves out of the way"", ""Apologizes""]","[""relieved"", ""happy"", ""frustrated people don't pay attention"", ""hopeful the line will pick up speed""]","[""none""]","[""move person y out of theway"", ""walk around person y"", ""to be patient"", ""to wait""]","[""none""]","[""none"", ""to not appear agressive"", ""to patiently wait their turn in line""]","[""none""]",PersonX pushes past PersonY
PersonX let's law enforcement do their job.,trn,"[""civic minded"", ""responsible"", ""Respectful"", ""Admirable""]","[""to search a new jon"", ""and work hard to get a job"", ""none""]","[""none"", ""arrested"", ""move back""]","[""kind hearted"", ""positive"", ""safe"", ""protected""]","[""none""]","[""to file a report"", ""to have the criminal caught"", ""to tell the police officers to do their job"", ""keep their distance from the officers""]","[""none""]","[""to be friendly"", ""to cause friendship"", ""help from others"", ""not to do it himself""]","[""to be a victim of a crime"", ""to have his house robbed"", ""none""]",PersonX takes the law into PersonX's hands
PersonX took all of the goods,trn,"[""walked away with"", ""liberated"", ""greedy"", ""inconsiderate""]","[""none""]","[""none""]","[""selfish"", ""intimidating"", ""ashamed"", ""powerful""]","[""none"", ""left out"", ""forgotten""]","[""to get everything"", ""to take it all"", ""go home with the goods"", ""buy the goods""]","[""none""]","[""none"", ""to be selfish"", ""to hoard them""]","[""plan"", ""strategize"", ""wants the goods"", ""finds the goods""]",PersonX delivers the goods
PersonX gives PersonY a shave,trn,"[""helpful"", ""dedicated"", ""hospitable"", ""skilled with a razer""]","[""none"", ""Arrange some party at home"", ""Ask help""]","[""has a new haircut"", ""feels less agitated from having a lot of hair"", ""none""]","[""good"", ""helpful""]","[""none"", ""clean"", ""happy""]","[""clean PersonY's face off"", ""clean off the shaver blades"", ""to pay"", ""to thank person y""]","[""put on some face cream"", ""show off their freshly shaven face"", ""none""]","[""none"", ""to help out"", ""make them look presentable""]","[""get a shaver"", ""put shaving cream on PersonY"", ""to find a shop"", ""to get into the shop""]",PersonX gives PersonY a haircut
PersonX ruins dinner that was for PersonY's family,trn,"[""spiteful"", ""disrespectful"", ""rude"", ""selfish""]","[""none"", ""gets yelled at"", ""gets looked down on""]","[""none"", ""hands shake from irritation"", ""body temperature rises from irritation""]","[""rude"", ""sad"", ""ashamed"", ""embarrassed""]","[""none"", ""humiliated"", ""ashamed of person X""]","[""to yell"", ""to destroy other things"", ""to cook them dinner"", ""to make it up to them""]","[""to kick out PersonX"", ""to repair the damage"", ""none""]","[""none""]","[""to want the party to be a disaster"", ""to knock over all the plates"", ""none""]",PersonX makes dinner for PersonY's family
PersonX skips lots of photos,trn,"[""sad"", ""upset"", ""afraid of pictures"", ""not photogenic""]","[""none"", ""PersonX wonders about what he missed"", ""PersonX gets bored""]","[""none""]","[""relieved that it is over"", ""exhausted"", ""mellow"", ""lazy""]","[""none""]","[""to stay out of the spotlight"", ""to put on a disguise"", ""to forget them"", ""to not think of the past""]","[""none""]","[""to finish faster"", ""to avoid the memories"", ""to not care"", ""to do nothing""]","[""to hide from the photographer"", ""to avoid people"", ""none""]",PersonX takes lots of photos
PersonX pulls PersonY's arm,trn,"[""needy"", ""dependent"", ""aggressive"", ""boorish""]","[""none"", ""gets shoved"", ""gets shrugged""]","[""they are dragged away"", ""they are kidnapped"", ""gets pulled closer"", ""gets taken""]","[""satisfied"", ""glad"", ""needy"", ""indigent""]","[""restrained"", ""man-handled"", ""confused"", ""annoyed""]","[""lead personY somewhere"", ""stay together"", ""to protect them"", ""to bring them near""]","[""be lead somewhere"", ""pull their arm back"", ""none""]","[""to gain personY's attention"", ""to stop person Y"", ""to cause harm to person y"", ""to get person y's attention""]","[""approach personY"", ""grab personY's arm"", ""none""]",PersonX pulls PersonY's pants
PersonX crashes PersonY's automobile.,trn,"[""despondent"", ""worried"", ""embarrassed"", ""rueful"", ""afraid"", ""apologetic""]","[""has to pay for the damages"", ""has to inform personY"", ""gets in trouble"", ""gets sued""]","[""inform their insurance"", ""charge personX"", ""loses money"", ""gets asked for help""]","[""guilty"", ""injured"", ""sad"", ""careless""]","[""upset"", ""destroyed"", ""none""]","[""hide"", ""go to the hospital"", ""call personY"", ""pay for the repairs"", ""apologize""]","[""to call their insurance"", ""to visit PersonX in the hospital"", ""receive an apology"", ""get the car fixed""]","[""none""]","[""drive"", ""head towards another car or object"", ""drive personY's car"", ""fail to avoid an accident""]",PersonX drives PersonY automobile
PersonX is very rude to PersonY,trn,"[""uncivilized"", ""uncouth"", ""mean"", ""uncaring""]","[""they're ignored"", ""none""]","[""none""]","[""powerful"", ""mean"", ""guilty"", ""rude""]","[""sad"", ""hurt"", ""upset""]","[""Ask sorry to PersonY"", ""ask help to PersonY"", ""to apologize"", ""to confront persony""]","[""none"", ""to know what is wrong"", ""to figure out how to make things better""]","[""to make Y feel bad"", ""to express themselves"", ""to make someone sad"", ""to be left alone""]","[""none""]",PersonX is very kind to PersonY
PersonX leaves the army.,trn,"[""done"", ""ready to be home"", ""Adventurous"", ""Spontaneous""]","[""none"", ""Is home"", ""Not in the army""]","[""none""]","[""tired"", ""lonely"", ""bored""]","[""none""]","[""to retire"", ""to go home"", ""to do business""]","[""none""]","[""none""]","[""none""]",PersonX joins the army
PersonX keeps a wide berth from PersonY's father,trn,"[""cautious"", ""concerned"", ""nervous"", ""anxious""]","[""none""]","[""none""]","[""caring"", ""steady"", ""satisfied"", ""lonely""]","[""none""]","[""maintain distance"", ""avoid interaction"", ""to sleep well"", ""to play""]","[""receive an explanation"", ""get closer"", ""none""]","[""none""]","[""be near personY's father"", ""decide to keep space between personX and personY's father"", ""to get on a train"", ""to find a good seat""]",PersonX calls PersonY's father
PersonX gives PersonY their seat.,trn,"[""generous"", ""kind"", ""helpful"", ""gracious""]","[""none"", ""stands"", ""gets thanked"", ""is tired""]","[""none"", ""sits"", ""thanks person x""]","[""helpful"", ""supportive"", ""proud""]","[""thankful"", ""appreciative"", ""grateful""]","[""to find somewhere else to sit"", ""to be polite"", ""stand or sit somewhere else"", ""acknowledge Y""]","[""to thank personx"", ""to relax their legs"", ""to thank X for their kindness"", ""sit down""]","[""to be polite"", ""to be friendly with person y"", ""to be nice to persony"", ""to be a good person""]","[""to get up"", ""to notice persony"", ""ask Y if they would like to sit there"", ""to get up and move from the seat""]",PersonX takes PersonY's seat
PersonX tells PersonY to go.,trn,"[""forceful"", ""confident"", ""hostile"", ""rude""]","[""gets protested again"", ""is obeyed"", ""none""]","[""is sent home"", ""gets in an argument"", ""exit"", ""egress""]","[""angry"", ""frustrated"", ""upset"", ""annoyed""]","[""confused"", ""rejected"", ""disappointed"", ""angry""]","[""to rest"", ""to spend time meditating"", ""stays at home"", ""to be alone""]","[""none""]","[""person y to leave"", ""to be alone"", ""wants to be alone"", ""is angry at PersonY""]","[""to get upset"", ""to want to be alone"", ""none""]",PersonX tells PersonY to wait
PersonX makes PersonY aware of the circumstances,trn,"[""knowledgeable"", ""helpful"", ""forthcoming""]","[""none""]","[""PersonY becomes informed of the situation"", ""PersonY thanks personX"", ""none""]","[""relieved"", ""hesitant"", ""content"", ""good""]","[""enlightened"", ""thankful"", ""informed"", ""communicative""]","[""their real opinion"", ""an educated take on it"", ""to get y informed"", ""to pass the knowledge""]","[""time to process it"", ""to have a discussions"", ""none""]","[""to address the situation"", ""to move forward"", ""to impart information to Y"", ""to make Y understand""]","[""none""]",PersonX pulls the rug out from under PersonY
PersonX destroys PersonY's inventory,trn,"[""cruel"", ""vicious"", ""destructive"", ""ruinous""]","[""gets in trouble"", ""is made to pay"", ""loses job"", ""gets arrested""]","[""loses money"", ""loses inventory"", ""buys new inventory"", ""fires person x""]","[""satisfied"", ""justified"", ""leave"", ""run away""]","[""concerned"", ""frustrated"", ""angry"", ""furious""]","[""to be number one"", ""to get reward"", ""explain their behavior"", ""leave the premisis""]","[""none"", ""to express anger at x"", ""to get even with x""]","[""to cause problems for person Y"", ""to get even"", ""be mean"", ""be wicked""]","[""none"", ""to get near Y's inventory"", ""to get ahold of the inventory""]",PersonX makes PersonY inventory
PersonX slaps persony face,trn,"[""assaultive"", ""irate"", ""aggressive"", ""forceful""]","[""they're slapped back"", ""they're punched"", ""none""]","[""none"", ""feels pain on their face"", ""slaps PersonX back""]","[""sad"", ""angry"", ""powerful"", ""furious""]","[""none"", ""hurt"", ""upset""]","[""apologize to PersonY"", ""personY to stop talking"", ""to give it back"", ""pay back consequence""]","[""retaliate"", ""to cry"", ""none""]","[""none"", ""to hurt Y"", ""to express madness""]","[""be near PersonY"", ""to be having an altercation with PersonY"", ""none""]",PersonX rubs PersonY's temples
